,ensemble id,gene sym
0,ENSMUSG00000052217,Hbb-bh1
1,ENSMUSG00000079523,Tmsb10
2,ENSMUSG00000020372,Rack1
3,ENSMUSG00000026193,Fn1
4,ENSMUSG00000040856,Dlk1
5,ENSMUSG00000020738,Sumo2
6,ENSMUSG00000032291,Crabp1
7,ENSMUSG00000051855,Mest
8,ENSMUSG00000109324,Prmt1
9,ENSMUSG00000058799,Nap1l1
10,ENSMUSG00000001506,Col1a1
11,ENSMUSG00000030208,Emp1
12,ENSMUSG00000041571,Selenow
13,ENSMUSG00000000568,Hnrnpd
14,ENSMUSG00000034993,Vat1
15,ENSMUSG00000029394,Cdk2ap1
16,ENSMUSG00000018593,Sparc
17,ENSMUSG00000067786,Nnat
18,ENSMUSG00000030218,Mgp
19,ENSMUSG00000030189,Ybx3
20,ENSMUSG00000037852,Cpe
21,ENSMUSG00000084786,Ubl5
22,ENSMUSG00000022403,St13
23,ENSMUSG00000033475,Tomm6
24,ENSMUSG00000042043,Tbca
25,ENSMUSG00000004044,Cavin1
26,ENSMUSG00000033020,Polr2f
27,ENSMUSG00000024208,Uqcc2
28,ENSMUSG00000042462,Dctpp1
29,ENSMUSG00000064080,Fbln2
30,ENSMUSG00000019370,Calm3
31,ENSMUSG00000029718,Pcolce
32,ENSMUSG00000054312,Mrps21
33,ENSMUSG00000029761,Cald1
34,ENSMUSG00000001418,Glmp
35,ENSMUSG00000032060,Cryab
36,ENSMUSG00000046865,Fbl
37,ENSMUSG00000037072,Selenof
38,ENSMUSG00000093904,Tomm20
39,ENSMUSG00000047721,Bola2
40,ENSMUSG00000061613,U2af1
41,ENSMUSG00000018446,C1qbp
42,ENSMUSG00000028820,Sfpq
43,ENSMUSG00000028044,Cks1b
44,ENSMUSG00000024529,Lox
45,ENSMUSG00000028609,Magoh
46,ENSMUSG00000034192,Lsm3
47,ENSMUSG00000010406,Mrpl52
48,ENSMUSG00000074781,Ube2n
49,ENSMUSG00000054717,Hmgb2
50,ENSMUSG00000040824,Snrpd2
51,ENSMUSG00000042406,Atf4
52,ENSMUSG00000000957,Mmp14
53,ENSMUSG00000007655,Cav1
54,ENSMUSG00000025403,Shmt2
55,ENSMUSG00000015766,Eps8
56,ENSMUSG00000026020,Nop58
57,ENSMUSG00000031740,Mmp2
58,ENSMUSG00000034088,Hdlbp
59,ENSMUSG00000022338,Eny2
60,ENSMUSG00000015749,Anp32e
61,ENSMUSG00000022194,Pabpn1
62,ENSMUSG00000015143,Actn1
