gene,tpm
0610009B22Rik,24.664119000000003
0610010F05Rik,8.704797
0610010K14Rik,85.312322
0610012G03Rik,34.606
0610030E20Rik,8.567632999999999
0610037L13Rik,98.58831
0610040J01Rik,0.18492899999999998
1110002E22Rik,0.0115801
1110004F10Rik,82.3938845
1110008L16Rik,7.64384
1110008P14Rik,24.711054
1110012L19Rik,27.9012
1110017D15Rik,0.141107
1110025L11Rik,0.0
1110032A03Rik,9.180952
1110032F04Rik,0.0
1110038F14Rik,39.865912
1110051M20Rik,40.161629999999995
1110057P08Rik,0.0
1110059E24Rik,32.3984211
1110059G10Rik,13.070011000000001
1110065P20Rik,67.17389
1190002N15Rik,7.19281
1190005I06Rik,2.26635
1190007I07Rik,8.691207
1300017J02Rik,0.0
1500009C09Rik,0.0
1500009L16Rik,0.0440397
1500011B03Rik,6.431982
1500015O10Rik,0.487346
1520401A03Rik,0.1236695
1600002K03Rik,16.0717
1600012H06Rik,32.98424
1600014C10Rik,6.9098269000000005
1600014C23Rik,0.0
1600015I10Rik,0.0
1600029O15Rik,0.1490541048
1700001C02Rik,0.0805716
1700001C19Rik,0.0512727
1700001F09Rik,0.0
1700001J03Rik,0.0727329716
1700001J11Rik,0.0107645
1700001K19Rik,0.283413
1700001L19Rik,0.0264539
1700001O22Rik,0.649298020337
1700001P01Rik,0.350588
1700003E16Rik,2.174648
1700003F12Rik,1.852541
1700003H04Rik,0.0
1700003N22Rik,0.0
1700006A11Rik,0.0
1700007E05Rik,0.0163897
1700007K13Rik,0.279089
1700008O03Rik,0.23500729999999997
1700008P02Rik,0.0
1700009N14Rik,0.344756
1700010B08Rik,0.0611771
1700010I14Rik,1.605528
1700010N08Rik,0.0
1700011L22Rik,0.168063
1700011M02Rik,0.0
1700012A03Rik,0.0
1700012B07Rik,0.0
1700012B09Rik,0.0
1700012P22Rik,0.0
1700013F07Rik,0.26404993
1700013G24Rik,0.0
1700013H16Rik,0.0628452
1700014D04Rik,0.0
1700015F17Rik,0.250594
1700015G11Rik,0.0
1700016C15Rik,0.0375545
1700016D06Rik,0.111144
1700016H13Rik,0.0
1700016K19Rik,0.0
1700017B05Rik,21.641592
1700017D01Rik,0.0
1700017N19Rik,0.0
1700018B08Rik,0.0
1700018F24Rik,0.0
1700018G05Rik,0.0
1700018M17Rik,0.0897129
1700019A02Rik,0.0
1700019D03Rik,0.0192182
1700019M22Rik,0.0
1700019N19Rik,0.0
1700020A23Rik,0.0
1700020D05Rik,2.94736
1700020L24Rik,1.241269
1700020N01Rik,0.0
1700020N15Rik,0.0
1700021F05Rik,42.532835
1700021F07Rik,0.0
1700022A21Rik,0.0
1700022I11Rik,0.13143743
1700023F06Rik,0.0924937
1700024B05Rik,0.13220243
1700024G13Rik,0.0
1700024J04Rik,0.14624
1700024P04Rik,0.0
1700025B11Rik,0.0
1700025C18Rik,0.0
1700025F22Rik,0.0
1700025G04Rik,19.169657
1700028B04Rik,0.252745
1700028J19Rik,0.68913893
1700028K03Rik,0.0128175
1700028P14Rik,0.0
1700029F12Rik,0.267015
1700029H14Rik,0.0241578
1700029I15Rik,1.1542430000000001
1700029J07Rik,0.762786
1700029P11Rik,0.0
1700030C10Rik,0.222809
1700030J22Rik,0.861554
1700030K09Rik,8.182617196999999
1700031F05Rik,0.0
1700031M16Rik,0.0
1700034E13Rik,0.17511
1700034I23Rik,0.0
1700034J05Rik,0.0
1700037C18Rik,4.1565463000000005
1700037H04Rik,70.123053
1700040F15Rik,0.0
1700042G07Rik,0.0
1700047I17Rik2,0.0
1700049E17Rik1,0.00777101
1700049E17Rik2,0.2630170459107
1700049L16Rik,0.0
1700056E22Rik,2.67859
1700057G04Rik,0.419336
1700061G19Rik,0.0956553
1700063K16Rik,0.0
1700064H15Rik,0.0
1700065I16Rik,0.0
1700066B19Rik,0.0186937
1700066M21Rik,13.166144000000001
1700067K01Rik,0.5667724000000001
1700067P10Rik,0.0
1700069L16Rik,0.0
1700071K01Rik,0.0
1700073E17Rik,0.0788081
1700074P13Rik,0.0
1700080E11Rik,0.0
1700080O16Rik,0.0
1700084J12Rik,0.0120152
1700084M14Rik,0.0589645
1700086D15Rik,0.0
1700086L19Rik,0.0
1700088E04Rik,4.700374608824
1700091H14Rik,0.0
1700092M07Rik,0.663258
1700093K21Rik,0.0774073
1700102P08Rik,0.1875591
1700109H08Rik,0.8213340000000001
1700113H08Rik,0.0
1700122O11Rik,0.0
1700123K08Rik,0.0
1700123L14Rik,0.0
1700123O20Rik,28.51482
1700125H20Rik,0.437093
1700128F08Rik,0.0245638
1700129C05Rik,0.0
1810009A15Rik,110.43253
1810009J06Rik,0.0
1810010D01Rik,0.0
1810010H24Rik,1.443881
1810013L24Rik,42.2778
1810014B01Rik,7.083282
1810018F18Rik,0.0
1810022K09Rik,147.908932
1810024B03Rik,0.628657
1810030O07Rik,22.386
1810037I17Rik,68.902
1810043G02Rik,22.5635714
1810046K07Rik,0.0
1810049J17Rik,35.0573
1810055G02Rik,55.220368
1810062G17Rik,0.24062
1810065E05Rik,0.0
2010003K11Rik,0.0886961
2010005H15Rik,0.58081
2010010A06Rik,0.0
2010106E10Rik,0.0
2010109A12Rik,0.0
2010109I03Rik,0.255766
2010111I01Rik,21.68891211262
2010300C02Rik,0.0
2010315B03Rik,3.5479801
2200002D01Rik,5.6335299999999995
2200002J24Rik,0.111547
2210010C04Rik,0.0
2210011C24Rik,0.519971
2210016F16Rik,1.44426
2210016L21Rik,27.029505999999998
2210017I01Rik,0.146726
2210407C18Rik,0.0
2210408I21Rik,4.37992
2210409E12Rik,0.0
2210418O10Rik,1.03696
2300002M23Rik,0.0
2300003K06Rik,0.0
2300009A05Rik,7.208601999999999
2310002L09Rik,0.0
2310003L06Rik,0.0
2310007B03Rik,0.0229666
2310009B15Rik,40.624081999999994
2310011J03Rik,34.4312
2310022A10Rik,14.831525
2310022B05Rik,136.377
2310030G06Rik,0.1081513
2310033P09Rik,15.9984
2310034C09Rik,0.0
2310034G01Rik,0.805365
2310039H08Rik,44.6296
2310046K23Rik,0.0
2310050C09Rik,0.0
2310057J18Rik,0.0
2310057M21Rik,13.4745078
2310057N15Rik,0.0
2310061I04Rik,22.561574800000002
2310061N02Rik,0.0
2310079G19Rik,0.0
2410002F23Rik,83.058986
2410004B18Rik,27.598368999999998
2410004P03Rik,0.170492
2410015M20Rik,140.94413
2410024N13Rik,0.0453568
2410131K14Rik,8.57555
2410137M14Rik,0.0
2410141K09Rik,0.0759014
2510002D24Rik,17.30374
2510009E07Rik,12.69227
2510039O18Rik,35.2353
2610001J05Rik,64.069705
2610002M06Rik,9.96733
2610005L07Rik,67.6294
2610008E11Rik,19.302748700000002
2610021A01Rik,10.0543943
2610024D14Rik,0.0
2610028H24Rik,0.0211827
2610042L04Rik,0.0
2610044O15Rik8,29.2928
2610301B20Rik,15.799911
2610318N02Rik,7.425959
2610507B11Rik,46.152888
2610528A11Rik,0.0843467
2610528J11Rik,0.0
2700049A03Rik,5.4833300000000005
2700062C07Rik,18.74303
2700081O15Rik,47.320238
2700097O09Rik,5.664934
2700099C18Rik,13.480766000000001
2810004N23Rik,31.273036
2810006K23Rik,8.343954
2810021J22Rik,3.3269360000000003
2810025M15Rik,30.436629999999997
2810039B14Rik,0.7473864
2810047C21Rik1,2.99676000799498
2810408A11Rik,1.4814897
2810459M11Rik,0.00688373
2900011O08Rik,0.07191310000000001
2900026A02Rik,0.10194939
2900092C05Rik,0.0
3000002C10Rik,0.733591
3100002H09Rik,0.0
3110001I22Rik,1.707413
3110009E18Rik,16.1656957
3110009M11Rik,0.0
3110018I06Rik,0.0
3110021N24Rik,0.452407
3110040M04Rik,0.0
3110040N11Rik,54.46952
3110053B16Rik,3.4662729999999997
3110067C02Rik,0.0900146
3110070M22Rik,1.76494
3110082I17Rik,25.3253731
3110082J24Rik,0.421407
3300002I08Rik,4.673819
3425401B19Rik,0.0202514
3830403N18Rik,0.56466
3830406C13Rik,18.6106593847
3830417A13Rik,0.0
4430402I18Rik,0.5383790767976
4632433K11Rik,0.0
4833418N17Rik,1.99006
4833420G17Rik,21.84447
4833423E24Rik,0.0
4833427G06Rik,6.09124
4833439L19Rik,52.127036
4921501E09Rik,0.0
4921504E06Rik,0.0
4921507P07Rik,0.0197716
4921509C19Rik,0.0
4921511C20Rik,0.0
4921511M17Rik,0.0
4921517D22Rik,0.0
4921524J17Rik,18.60431
4921524L21Rik,0.0
4921530L21Rik,0.0
4921536K21Rik,0.150429
4921539E11Rik,0.0
4922502D21Rik,0.0
4930402F06Rik,0.0
4930402H24Rik,22.13465913262
4930402K13Rik,0.0
4930404H24Rik,0.0
4930404N11Rik,1.122799
4930407I10Rik,0.0
4930412O13Rik,0.0
4930415H17Rik,1.09572
4930415L06Rik,0.0
4930415O20Rik,1.8329
4930421P07Rik,0.0
4930426L09Rik,1.07482
4930430A15Rik,0.0
4930430F08Rik,13.638524
4930431P19Rik,0.51929
4930432E11Rik,0.0404613
4930432K21Rik,1.66998
4930432M17Rik,0.0
4930433I11Rik,0.0
4930435E12Rik,0.0
4930438A08Rik,0.0113685
4930442H23Rik,0.164327
4930444G20Rik,0.0
4930444P10Rik,0.3354745
4930447A16Rik,0.0
4930447C04Rik,0.1221898
4930447F04Rik,0.0
4930448K20Rik,0.0
4930449A18Rik,0.0
4930449I24Rik,0.0
4930451G09Rik,2.9285829999999997
4930451I11Rik,0.0
4930452B06Rik,4.3368264
4930453N24Rik,12.139710000000001
4930455H04Rik,0.0
4930465K10Rik,0.0609046
4930467E23Rik,0.0
4930469K13Rik,0.213788
4930470P17Rik,0.0
4930471M09Rik,0.0
4930474N05Rik,0.1603963
4930480E11Rik,0.0
4930486L24Rik,0.272016
4930488N24Rik,0.0
4930502E18Rik,0.0
4930503B20Rik,0.0555886
4930503E14Rik,0.1535664
4930503E24Rik,0.0
4930503H13Rik,0.0
4930503L19Rik,13.250893
4930505A04Rik,0.121494
4930507D05Rik,0.206504
4930512M02Rik,0.0
4930513O06Rik,0.0706854
4930515G13Rik,0.0
4930515G16Rik,0.0
4930516K23Rik,0.049819
4930518I15Rik,0.360604
4930519F09Rik,0.0
4930519F16Rik,0.0886889
4930519G04Rik,0.1055817
4930519P11Rik,0.630428
4930522H14Rik,0.0
4930522L14Rik,11.198129999999999
4930523C07Rik,19.3702239
4930524B15Rik,0.0
4930524J08Rik,8.10768
4930524N10Rik,0.0
4930526A20Rik,1.30134
4930529C04Rik,0.0
4930535I16Rik,0.0870697
4930539E08Rik,0.17305189999999998
4930544D05Rik,0.0
4930544G11Rik,0.0
4930548H24Rik,0.151707
4930550C14Rik,0.6993855
4930550L24Rik,0.0156628
4930555G01Rik,0.0
4930555K19Rik,0.0
4930556J24Rik,0.0423195
4930558C23Rik,0.0
4930558K02Rik,0.0546741
4930562C15Rik,0.6837812
4930563M21Rik,0.0721009
4930564D02Rik,0.0396936
4930568D16Rik,0.0
4930572O03Rik,0.0
4930578C19Rik,0.0
4930578G10Rik,0.0
4930578I06Rik,0.0
4930579F01Rik,0.0
4930579G24Rik,13.1157
4930583I09Rik,0.0
4930590J08Rik,0.102729
4930595D18Rik,0.0
4930595M18Rik,0.0
4930596D02Rik,0.0
4931400O07Rik,0.0
4931406B18Rik,0.046556049999999995
4931406C07Rik,19.239333000000002
4931406P16Rik,13.290982
4931408C20Rik,0.0
4931409K22Rik,0.0197806
4931414P19Rik,5.5967934
4931417E11Rik,0.0
4931422A03Rik,0.722165
4931423N10Rik,0.0261973
4931428F04Rik,9.897779
4931428L18Rik,0.53546
4931429L15Rik,0.0235358
4931440F15Rik,0.0453284
4931440P22Rik,1.9454044000000001
4932411N23Rik,0.00672097
4932414N04Rik,0.3303416
4932415D10Rik,0.0072731465
4932415M13Rik,0.0
4932429P05Rik,0.0
4932431P20Rik,0.0
4932438A13Rik,11.174407930184739
4932438H23Rik,0.00963018
4933400A11Rik,0.0475708
4933401B06Rik,0.0
4933402D24Rik,0.0552064
4933402E13Rik,0.0
4933402J07Rik,0.0
4933402N03Rik,0.0
4933402N22Rik,0.0
4933403O08Rik,0.0
4933405L10Rik,0.298105
4933405O20Rik,0.0
4933406M09Rik,0.0
4933407L21Rik,0.0322883
4933408B17Rik,0.385145
4933409G03Rik,0.0
4933411K16Rik,0.527679
4933412A08Rik,0.0784393
4933412E24Rik,0.0
4933414I15Rik,0.0
4933415A04Rik,0.0
4933415F23Rik,0.0
4933416C03Rik,0.0
4933416E14Rik,0.0
4933416I08Rik,0.0
4933417A18Rik,0.0
4933417G07Rik,0.0
4933421I07Rik,0.0
4933424G06Rik,0.05164042
4933425L06Rik,0.0
4933427D14Rik,7.740837
4933427G23Rik,0.0669698
4933427I04Rik,0.824658
4933428G20Rik,0.387115
4933428M09Rik,0.0
4933430I17Rik,0.326031
4933434E20Rik,44.234399
4933436I01Rik,0.0
5031410I06Rik,1.39652
5031439G07Rik,26.891080000000002
5033404E19Rik,0.0
5033423K11Rik,0.0
5330417C22Rik,0.00765617
5330417H12Rik,0.0
5430401F13Rik,0.0
5430402E10Rik,0.0
5430403G16Rik,2.05263
5430419D17Rik,0.00278557
5430427O19Rik,0.00606609
5430437J10Rik,0.10734426000000001
5530400C23Rik,0.0
5530401A14Rik,0.0193701
5730409E04Rik,18.2085
5730416F02Rik,0.0348861
5730455P16Rik,16.1432570308579
5730480H06Rik,12.3813234
5730507C01Rik,2.5803260000000003
5730522E02Rik,0.0
5730596B20Rik,1.18544
5830411N06Rik,0.0
5830417I10Rik,12.2015
5830473C10Rik,0.15225
5930422O12Rik,0.0
6030408B16Rik,0.0898023
6030445D17Rik,0.501885
6030452D12Rik,0.0
6030458C11Rik,12.571345
6030468B19Rik,0.0983915
6030498E09Rik,0.0
6330403K07Rik,0.448246
6330409D20Rik,0.0932926
6330549D23Rik,2.8031189999999997
6430531B16Rik,0.36564169999999996
6430548M08Rik,7.855688
6430550D23Rik,0.6114418
6430571L13Rik,0.943766
6430628N08Rik,0.0
6720489N17Rik,3.57949
6820408C15Rik,0.1151015
6820431F20Rik,136.80372
7420426K07Rik,0.0
7530416G11Rik,0.0673969
7530428D23Rik,1.6482
8030411F24Rik,0.0
8030462N17Rik,3.971884
8030474K03Rik,0.0
9030025P20Rik,4.772447
9030612E09Rik,0.0277765
9030619P08Rik,0.0
9030624G23Rik,3.40242
9130008F23Rik,5.14143
9130019O22Rik,4.31436
9130023H24Rik,2.79828
9130204L05Rik,0.0
9130208D14Rik,0.00361504
9130213A22Rik,0.474751
9130230L23Rik,0.223249
9130401M01Rik,22.231830799999997
9130409I23Rik,0.0126685
9230102O04Rik,0.0
9230104L09Rik,0.0858159
