gene,tpm
0610009B22Rik,38.002615
0610010K14Rik,56.354506300000004
0610012G03Rik,48.9626
0610030E20Rik,3.2580560000000003
0610040J01Rik,4.458848
1110002E22Rik,0.23774
1110004F10Rik,109.60121759999998
1110017D15Rik,10.582731599999999
1110025L11Rik,0.0
1110032A03Rik,56.252266999999996
1110032F04Rik,8.55385
1110038F14Rik,18.836386000000005
1110051M20Rik,72.42571000000001
1110057P08Rik,0.0
1110059E24Rik,20.07
1110059G10Rik,15.392121
1110065P20Rik,111.60245
1190005I06Rik,19.258521000000002
1190007I07Rik,10.00396
1300017J02Rik,0.0983266
1500009C09Rik,109.412358
1500009L16Rik,24.10645
1500011B03Rik,145.95666
1520401A03Rik,0.0
1600012H06Rik,7.946648000000001
1600014C10Rik,13.181646
1600014C23Rik,0.6229060000000001
1600029O15Rik,0.803328
1700001C19Rik,0.13771429999999998
1700001F09Rik,0.0
1700001J03Rik,0.0
1700001J11Rik,0.0
1700001K19Rik,1.10653
1700001L19Rik,19.74045
1700001O22Rik,4.986764900000001
1700001P01Rik,0.470887
1700003E16Rik,24.414229999999996
1700003F12Rik,1.1398987999999999
1700003H04Rik,0.0
1700003N22Rik,0.0
1700006A11Rik,0.0
1700007E05Rik,0.022059099999999998
1700007K13Rik,8.30633
1700008O03Rik,1.481077
1700008P02Rik,0.0
1700009N14Rik,0.0
1700010B08Rik,0.0
1700010I14Rik,0.756183
1700010N08Rik,0.0128797
1700011L22Rik,0.0
1700011M02Rik,0.0
1700012A03Rik,0.0
1700012B07Rik,0.0
1700012B09Rik,2.81375
1700012P22Rik,0.0
1700013F07Rik,1.3325518
1700013G24Rik,0.0
1700013H16Rik,0.028226599999999998
1700014B07Rik,0.0957038
1700014D04Rik,0.196177
1700015G11Rik,0.0
1700016C15Rik,0.101005
1700016D06Rik,0.25246399999999997
1700016H13Rik,0.0
1700016K19Rik,5.111280000000001
1700017B05Rik,4.975109499999999
1700017N19Rik,0.220148
1700018B08Rik,0.119155
1700018F24Rik,0.0
1700018G05Rik,1.03778
1700018M17Rik,0.0
1700019A02Rik,0.0
1700019D03Rik,5.67221
1700019M22Rik,0.0
1700019N19Rik,0.0
1700020A23Rik,0.08817960000000001
1700020L13Rik,0.253785
1700020L24Rik,2.68375
1700020N01Rik,0.0
1700020N15Rik,0.0
1700021F07Rik,0.0640222
1700022A21Rik,0.0
1700022I11Rik,0.00824979
1700024B05Rik,0.0
1700024G13Rik,1.5480399999999999
1700024J04Rik,0.0358089
1700025B11Rik,0.0
1700025C18Rik,0.0
1700025G04Rik,20.969199
1700028B04Rik,0.07997860000000001
1700028J19Rik,0.8492673
1700028K03Rik,0.2638458
1700028P14Rik,1.83243
1700029F12Rik,0.0
1700029H14Rik,0.0
1700029I15Rik,0.8965110000000001
1700029J07Rik,1.0663969999999998
1700030C10Rik,0.20546599999999998
1700030J22Rik,2.5880310000000004
1700030K09Rik,2.70769
1700031F05Rik,0.0
1700031L13Rik,0.0
1700031M16Rik,0.0
1700034E13Rik,0.0
1700034I23Rik,0.013522399999999999
1700034J05Rik,0.010358599999999999
1700037C18Rik,5.7130399999999995
1700037H04Rik,64.15317900000001
1700040F15Rik,0.0
1700049E17Rik1,0.0
1700049E17Rik2,0.0
1700049L16Rik,0.0
1700056E22Rik,0.413235
1700057G04Rik,0.0
1700063K16Rik,0.0
1700064H15Rik,0.71294
1700065I16Rik,0.0
1700066B19Rik,0.032877
1700066M21Rik,14.168505
1700067K01Rik,1.2009589999999999
1700067P10Rik,0.0
1700069L16Rik,0.0
1700071K01Rik,0.0
1700073E17Rik,0.0529784
1700084J12Rik,0.0
1700084M14Rik,0.0
1700086D15Rik,0.03235879999999999
1700086L19Rik,22.246539999999996
1700088E04Rik,8.398584
1700091H14Rik,0.0
1700092M07Rik,0.0
1700093K21Rik,0.0469284
1700094D03Rik,5.41705
1700102P08Rik,0.311898
1700109H08Rik,0.0941297
1700113H08Rik,0.186156
1700122O11Rik,0.0
1700123K08Rik,0.0
1700123L14Rik,0.0941083
1700123O20Rik,21.730325
1700125H20Rik,0.176213
1700128F08Rik,0.066413
1700129C05Rik,0.0
1810009A15Rik,35.426989999999996
1810009J06Rik,0.0
1810010H24Rik,4.1548699000000004
1810013L24Rik,20.49404
1810014B01Rik,4.855043
1810018F18Rik,0.0
1810020O05Rik,0.294824
1810024B03Rik,0.809551
1810030O07Rik,8.91
1810037I17Rik,89.3359
1810046K07Rik,0.027023900000000003
1810049J17Rik,2.08718
1810055G02Rik,11.780080605999999
1810058I24Rik,34.96466
1810062G17Rik,0.364374
1810065E05Rik,0.0
2010003K11Rik,0.0
2010010A06Rik,0.057921600000000004
2010106E10Rik,0.0
2010109A12Rik,0.0813078
2010315B03Rik,8.215305
2200002D01Rik,0.3460259
2200002J24Rik,0.0
2210010C04Rik,0.08969810000000002
2210016F16Rik,6.46635
2210016L21Rik,63.673517000000004
2210017I01Rik,0.104379
2210408I21Rik,3.5653799999999998
2210409E12Rik,0.0
2210418O10Rik,3.1473880000000003
2300002M23Rik,0.0
2300003K06Rik,0.0
