,AATF,ACTN1,B3GALT4,BGN,CALM1,CBL,CBLB,CCND1,CDK1,CDKN1A,COL4A1,CTSB,DAP,DDX6,DVL2,FKBP1A,FLT1,FXR2,ITGA4,ITGA5,ITGA7,ITGB1,ITGB5,LAMP1,MXD1,NAPA,NFKB2,PDGFRB,POLDIP3,RABIF,RAC1,SERPINF1,SH3KBP1,SLC25A3,SMARCA4,SMARCB1,SOX10,SPARC,TOMM34,TRIM8,VANGL1,VANGL2,VCP
cell_10_Pos0,0.02123264507289677,0.09997037055155562,0.0017693870894080642,0.35564680497102086,0.09908567700685159,0.01680917734937661,0.00884693544704032,0.03184896760934515,0.07431425775513868,0.01769387089408064,0.12562648334797255,0.0937775157386274,0.08758466092569916,0.07696833838925078,0.011501016081152416,0.1273958704373806,0.0017693870894080642,0.03184896760934515,0.0,0.03538774178816128,0.0008846935447040321,0.11854893499034029,0.03981120951168144,0.12916525752678867,0.00442346772352016,0.050427532048129824,0.0468887578693137,0.022117338617600797,0.058389773950466115,0.007962241902336287,0.08493058029158708,0.221173386176008,0.030964274064641122,0.37245598232039745,0.0468887578693137,0.05219691913753789,0.0008846935447040321,0.4025355628403346,0.024771419251712896,0.06723670939750644,0.01857856443878467,0.014155096715264513,0.10881730599859593
cell_10_Pos10,0.0,0.10421427289534402,0.0,0.32905451520498386,0.0,0.013949942041109041,0.0,0.03200280821195604,0.0,0.03856748681953676,0.0,0.1058554425472392,0.0,0.05990269229417413,0.0,0.1665787196673609,0.0,0.029541053734113268,0.0,0.015591111693004225,0.0,0.12062596941429585,0.0,0.1419611748889332,0.0,0.050055674382803034,0.0,0.015591111693004225,0.0,0.00984701791137109,0.0,0.19283743409768384,0.0,0.3110016490341369,0.0,0.036105732341693994,0.0,0.3823925288915773,0.0,0.04677333507901268,0.0,0.014770526867056634,0.0
cell_10_Pos11,0.011333631090489344,0.06800178654293605,0.003777877030163115,0.3752691183295361,0.0793354176334254,0.0264451392111418,0.008815046403713934,0.0012592923433877047,0.025185846867754096,0.012592923433877048,0.10326197215779179,0.05918674013922213,0.08940975638052703,0.0528902784222836,0.012592923433877048,0.045334524361957375,0.005037169373550819,0.025185846867754096,0.0,0.008815046403713934,0.0,0.10074338747101638,0.04281593967518196,0.13474428074248443,0.0012592923433877047,0.02140796983759098,0.05037169373550819,0.025185846867754096,0.057927447795834426,0.013852215777264752,0.07052037122971147,0.09444692575407787,0.022667262180978687,0.33874964037129257,0.03022301624130492,0.03777877030163115,0.0012592923433877047,0.362676194895659,0.02140796983759098,0.07681683294665,0.020148677494203276,0.013852215777264752,0.10074338747101638
cell_10_Pos12,0.034831654809067636,0.11296752911048961,0.0,0.24193879151163195,0.10731915265496514,0.02071071367025643,0.007531168607365974,0.059307952783007045,0.10637775657904439,0.08943262721247094,0.0621321410107693,0.07719447822550124,0.10637775657904439,0.032948862657226144,0.015062337214731948,0.1026121722753614,0.0018827921518414935,0.0442456155682751,0.0,0.028241882277622404,0.0018827921518414935,0.12991265847706307,0.03859723911275062,0.18357223480454565,0.0009413960759207467,0.0442456155682751,0.04142142734051286,0.027300486201701658,0.0762530821495805,0.005648376455524481,0.08190145860510498,0.14968197607139874,0.032948862657226144,0.41892125378473233,0.04989399202379958,0.0583665567070863,0.0,0.2692392777133336,0.018827921518414937,0.074370289997739,0.02353490189801867,0.018827921518414937,0.11390892518641035
cell_10_Pos13,0.016574254307250916,0.08997452338221924,0.0011838753076607797,0.4522403675264178,0.07695189499795067,0.03314850861450183,0.008287127153625458,0.014206503691929355,0.005919376538303898,0.030780757999180265,0.0,0.0,0.0,0.0,0.013022628384268577,0.069848643151986,0.015390378999590133,0.03314850861450183,0.0,0.005919376538303898,0.0,0.06629701722900366,0.05090663822941351,0.1444327875346151,0.0035516259229823387,0.02012588023023325,0.0580098900753782,0.017758129614911692,0.04853888761409196,0.007103251845964677,0.04143563576812728,0.07813577030561145,0.02249363084555481,0.30425595406882033,0.02841300738385871,0.018942004922572475,0.0,0.24506218868578136,0.008287127153625458,0.069848643151986,0.016574254307250916,0.008287127153625458,0.10773265299713095
cell_10_Pos14,0.01119376974477041,0.043175969015543006,0.000799554981769315,0.30702911299941693,0.05596884872385205,0.013592434690078353,0.00639643985415452,0.007195994835923835,0.007195994835923835,0.00159910996353863,0.030383089307233966,0.021587984507771503,0.024786204434848764,0.01279287970830904,0.00639643985415452,0.026385314398387393,0.000799554981769315,0.016790654617155613,0.0,0.008795104799462465,0.0,0.07675727824985423,0.029583534325464653,0.11433636239301202,0.0,0.015991099635386297,0.010394214763001095,0.013592434690078353,0.038378639124927116,0.000799554981769315,0.042376414033773686,0.06796217345039177,0.010394214763001095,0.2726482487833364,0.031982199270772595,0.02238753948954082,0.0,0.2998331181634931,0.01119376974477041,0.052770628796774785,0.015991099635386297,0.01119376974477041,0.05916706865092931
cell_10_Pos15,0.01029295499724509,0.10970692907630898,0.0,0.2555199360764665,0.04631829748760291,0.01388695304763405,0.003859858123966909,0.061102593409589824,0.011579574371900728,0.1374808351715771,0.0,0.0,0.0,0.0,0.006433096873278182,0.11526171029536261,0.0,0.0013886953047634052,0.0,0.03471738261908513,0.0,0.15414517882873796,0.03345210374104655,0.20413820980022054,0.006433096873278182,0.06249128871435322,0.02444576811845709,0.018053038961924263,0.06304434935812618,0.011109562438107241,0.056611252484848,0.3082903576574759,0.03216548436639091,0.21247038162880097,0.04374505873829164,0.07498954645722387,0.0,0.45271466935287,0.023159148743801455,0.0819330229810409,0.01029295499724509,0.01388695304763405,0.08620349810192764
cell_10_Pos17,0.022962141296504524,0.12561642003381887,0.001350714193912031,0.2904035516910866,0.08104285163472186,0.02701428387824062,0.002701428387824062,0.004052142581736092,0.012156427745208278,0.021611427102592496,0.008104285163472185,0.008104285163472185,0.0,0.001350714193912031,0.014857856133032338,0.08104285163472186,0.002701428387824062,0.037819997429536865,0.0,0.03376785484780077,0.0,0.11210927809469856,0.039170711623448894,0.1836971303720362,0.002701428387824062,0.028364998072152647,0.04187214001127296,0.04592428259300905,0.06348356711386545,0.004052142581736092,0.07699070905298576,0.1836971303720362,0.029715712266064676,0.4065649723675213,0.04322285420518499,0.04862571098083311,0.0,0.263389267812846,0.025663569684328584,0.10670642131905043,0.03241714065388874,0.020260712908680464,0.16748856004509183
cell_10_Pos18,0.027731756927157163,0.10746055809273401,0.0023109797439297636,0.24265287311262515,0.0,0.0,0.0,0.0,0.05199704423841968,0.01964332782340299,0.0762623315496822,0.12132643655631258,0.11785996694041795,0.05546351385431433,0.021954307567332753,0.07857331129361196,0.008088429103754173,0.03582018603091133,0.0,0.01964332782340299,0.0,0.1259483960441721,0.04506410500663039,0.1444362339956102,0.006932939231789291,0.056619003726279205,0.031198226543051807,0.023109797439297634,0.0508415543664548,0.005777449359824409,0.0693293923178929,0.273851099655677,0.03928665564680598,0.3628238197969729,0.06701841257396314,0.0508415543664548,0.0,0.4506410500663039,0.017332348079473224,0.05777449359824408,0.013865878463578582,0.009243918975719054,0.11554898719648816
cell_10_Pos19,0.006927920488090288,0.0562893539657336,0.001731980122022572,0.4719645832511509,0.0,0.000865990061011286,0.0,0.0,0.003463960244045144,0.0311756421964063,0.1913838034834942,0.04589747323359817,0.1498162805549525,0.054557373843711024,0.012123860854158005,0.043299503050564306,0.0051959403660677165,0.0372375726234853,0.0,0.007793910549101575,0.0,0.06494925457584645,0.04849544341663202,0.14808430043292992,0.003463960244045144,0.023381731647304723,0.038969552745507875,0.017319801220225722,0.05715534402674489,0.006927920488090288,0.042433512989553016,0.12556855884663648,0.030309652135395014,0.342066074099458,0.03290762231842887,0.028577672013372444,0.0,0.33254018342833386,0.012989850915169292,0.06494925457584645,0.009525890671124148,0.014721831037191862,0.07793910549101575
