Itga4,Itga7,Egfr,Flt1,Mxd1,Cbl,Ksr1,Vangl2,Cblb,Rabif,Tomm34,Cd2ap,Vangl1,Mlx,Tomm40l,Ppp2r1b,Dvl3,Smarce1,Ets2,Smarca4,Dvl1,Axin1,Dvl2,Sh3kbp1,Pdgfrb,Itga5,Ddx6,Nfkb2,Fxr2,Crk,Smarcb1,Trim8,Cdkn1a,Poldip3,Ccnd1,Col4a1,Fam120a,Trap1,Sec61a1,Itgb5,Tomm40,Myc,Pdia4,Igfbp4,Ctnna1,Vat1,Zfp36l1,Slc25a1,Eif3b,Trim28,Ppp2ca,Itgb1,Cyr61,Pdia3,Serpinh1,Fbln2,Eif4b,Psat1,Col1a1,Bgn
0,2,0,0,9,6,2,6,10,6,17,13,1,14,7,14,32,9,2,14,28,17,43,19,8,55,53,32,30,11,18,52,31,28,47,65,52,221,163,113,86,28,44,88,51,74,14,60,38,54,80,146,203,90,172,65,295,130,557,501
0,0,0,0,10,11,7,24,7,8,32,15,5,20,7,15,40,11,8,4,24,6,43,20,17,49,25,7,50,21,14,6,27,17,145,44,44,102,88,162,285,184,90,96,48,62,20,37,24,64,71,145,134,37,129,72,117,120,185,291
0,2,0,1,3,3,3,4,2,1,5,7,2,2,7,7,19,8,4,4,12,3,17,9,13,36,51,6,22,14,5,5,17,33,114,123,39,53,62,103,360,103,80,157,88,26,5,3,4,31,56,65,105,42,38,76,80,45,257,169
0,1,0,0,12,9,2,23,4,7,25,13,5,18,8,15,30,14,3,7,28,9,38,19,11,55,95,22,51,17,16,2,32,42,21,57,62,150,97,183,469,231,27,55,24,62,23,27,35,52,64,135,111,265,107,97,116,94,384,444
0,2,0,0,15,18,1,13,5,9,18,11,10,15,7,21,38,18,10,8,24,15,47,9,11,61,79,27,64,19,21,4,35,61,26,50,56,159,76,101,354,382,92,127,51,49,10,22,41,72,88,181,159,78,200,104,184,215,288,346
0,2,0,1,12,6,5,18,3,13,25,11,3,11,8,13,22,22,1,4,20,12,43,4,19,56,35,12,50,17,12,92,13,56,85,51,41,161,1,34,128,163,9,11,15,120,35,10,49,84,57,213,192,156,238,77,79,152,263,246
0,1,0,1,11,9,6,18,9,7,21,30,7,15,25,19,31,18,8,10,27,11,49,22,18,69,59,74,53,9,21,20,57,50,46,169,144,179,251,89,279,277,47,66,44,174,48,49,45,86,77,103,191,89,99,217,39,176,291,123
0,2,0,0,9,11,6,10,0,6,21,10,8,9,6,4,20,10,7,4,18,10,55,7,22,36,35,17,36,15,18,4,12,53,16,69,56,114,218,97,399,112,36,62,71,23,29,7,42,61,71,92,117,6,76,112,52,239,189,270
1,2,0,0,11,25,2,15,0,3,11,8,7,12,26,5,21,28,11,4,13,11,54,7,4,38,34,18,43,28,22,60,12,33,30,148,93,118,196,150,202,68,39,42,59,59,24,8,28,56,40,95,118,12,105,114,51,212,198,62
0,4,0,1,16,6,5,15,11,10,25,14,7,11,8,18,30,14,8,14,19,22,64,22,9,44,43,20,36,25,15,16,33,38,291,83,74,238,161,25,98,91,19,71,53,52,35,23,25,74,87,196,183,36,95,109,155,225,323,277
0,5,1,0,22,18,1,11,5,5,29,12,7,14,9,31,54,12,4,14,32,23,95,14,7,52,30,19,46,34,31,20,37,38,61,14,207,199,151,12,34,61,40,75,71,154,69,10,66,115,119,175,149,224,126,169,96,224,306,242
0,4,0,1,12,5,2,7,3,1,13,13,4,16,4,19,20,8,7,2,20,6,25,6,8,36,95,10,37,13,6,21,27,37,112,58,48,215,148,15,51,24,45,26,33,34,4,25,18,65,59,113,100,45,104,101,64,213,309,210
0,1,0,0,7,7,7,9,5,8,16,8,9,11,7,12,31,11,8,8,12,25,25,7,9,50,31,16,42,13,22,64,13,14,13,30,69,206,130,17,63,65,10,31,52,43,33,23,27,61,71,113,148,19,120,78,80,133,310,180
0,7,0,1,11,7,4,19,11,10,23,19,6,24,6,8,30,15,12,8,21,10,22,13,19,38,31,7,28,13,21,13,26,15,62,42,52,121,141,19,66,83,21,37,76,50,21,38,24,95,90,142,86,6,87,114,101,240,291,230
0,3,0,11,16,27,2,11,4,11,31,14,6,20,8,16,48,16,1,8,26,18,79,14,12,87,23,17,76,26,24,63,43,36,53,109,74,356,191,44,92,92,13,23,37,86,51,22,55,112,114,183,167,188,170,89,85,285,199,312
0,6,1,0,11,5,5,12,7,12,21,11,9,18,9,15,31,8,4,5,22,14,50,11,18,51,39,23,41,9,12,18,16,24,44,32,90,209,165,66,261,140,37,105,120,75,9,8,56,52,38,158,89,28,112,67,52,263,198,150
0,5,1,3,24,17,14,19,1,17,24,9,15,14,18,34,55,20,15,5,33,36,69,10,24,55,131,25,54,33,47,10,39,24,21,41,183,300,220,63,94,89,2,3,22,136,10,20,113,107,105,206,148,69,127,161,69,339,353,166
0,2,0,0,8,11,11,8,3,13,14,16,3,11,6,13,42,21,5,8,33,15,43,16,14,47,98,60,50,21,15,8,45,60,119,42,43,132,57,19,44,77,3,5,29,56,16,76,49,56,63,128,182,104,164,120,161,139,370,334
0,0,0,0,14,15,3,22,2,9,30,8,8,20,10,11,31,16,8,13,25,13,75,22,8,61,113,19,41,22,11,5,45,30,13,44,10,195,38,6,9,28,3,20,26,69,23,20,18,90,84,150,187,38,113,114,213,115,371,426
0,1,0,0,16,28,4,15,13,19,37,19,5,28,21,23,59,25,9,22,41,28,68,26,21,64,45,29,55,29,34,16,40,54,25,124,36,271,94,9,44,53,15,57,26,56,61,37,61,96,101,183,266,161,223,143,203,281,275,567
1,0,0,0,8,6,1,6,1,5,14,1,13,15,7,5,13,10,3,6,14,10,31,7,13,26,32,11,34,7,19,5,15,22,127,18,56,92,139,12,42,38,11,17,28,30,16,2,40,44,50,101,50,90,94,108,39,176,180,61
1,0,1,1,15,6,5,12,1,5,37,4,15,24,9,19,44,11,5,12,23,27,51,9,11,55,10,12,39,14,44,8,10,59,162,83,157,192,157,33,89,112,7,29,11,71,18,6,82,86,55,154,105,146,125,191,26,290,283,89
0,3,1,5,14,2,4,24,2,6,25,13,11,13,11,21,43,18,20,10,38,24,69,18,17,65,151,29,74,19,26,24,45,36,14,47,96,224,84,20,92,44,2,2,36,264,28,12,66,80,47,214,119,150,159,129,60,339,349,178
0,7,1,1,18,8,9,16,8,22,25,25,30,23,15,29,62,6,6,16,43,24,45,13,23,77,71,29,69,14,37,26,37,54,84,53,53,162,50,4,14,39,6,17,43,86,35,39,39,115,108,147,178,32,172,182,166,393,513,313
0,1,0,0,9,13,8,11,7,8,20,7,4,13,12,18,37,18,6,8,28,14,25,18,15,42,41,14,42,24,10,20,17,3,11,33,23,71,27,4,47,31,,,,87,15,5,40,67,82,68,109,41,84,92,49,154,280,136
0,2,2,0,19,18,5,25,10,8,31,18,19,31,15,36,53,28,7,3,52,24,35,18,18,69,46,24,59,27,34,5,48,23,32,57,47,123,35,17,112,40,,,,89,34,25,65,109,153,130,137,33,131,130,140,384,315,318
