tracking_id,E14J B1,,,,,
0610005C13Rik,0,,,,,
0610007N19Rik,0.444783,,,,,
0610007P14Rik,31.5744,,,,,
0610008F07Rik,0,,,,,
0610009B14Rik,0.0517109,,,,,
0610009B22Rik,49.1301,,,,,
0610009D07Rik,65.115,,,,,
0610009L18Rik,0.367786,,,,,
0610009O20Rik,12.0868,,,,,
0610010B08Rik,0.697559,,,,,
0610010B08Rik,2.76821,,,,,
0610010F05Rik,3.41384,,,,,
0610010K14Rik,73.312,,,,,
0610011F06Rik,5.20268,,,,,
0610012G03Rik,13.4403,,,,,
0610012H03Rik,0.0543988,,,,,
0610030E20Rik,3.34893,,,,,
0610031J06Rik,30.4674,,,,,
0610031O16Rik,0,,,,,
0610037L13Rik,13.794,,,,,
0610038B21Rik,0,,,,,
0610038L08Rik,0,,,,,
0610039K10Rik,0,,,,,
0610040B10Rik,1.30245,,,,,
0610040F04Rik,0,,,,,
0610040J01Rik,1.75165,,,,,
0610043K17Rik,0.0921706,,,,,
1100001G20Rik,0,,,,,
1110001A16Rik,0,,,,,
1110001J03Rik,53.0096,,,,,
1110002L01Rik,22.3675,,,,,
1110004E09Rik,35.983,,,,,
1110004F10Rik,69.7127,,,,,
1110006O24Rik,0.809925,,,,,
1110007C09Rik,8.18102,,,,,
1110008F13Rik,91.7676,,,,,
1110008J03Rik,15.1727,,,,,
1110008L16Rik,13.3691,,,,,
1110008P14Rik,18.1806,,,,,
1110012L19Rik,13.4691,,,,,
1110015O18Rik,0,,,,,
1110017D15Rik,0,,,,,
1110018G07Rik,5.76052,,,,,
1110019D14Rik,2.66698,,,,,
1110020A21Rik,0.527426,,,,,
1110025L11Rik,0.0245379,,,,,
1110028F11Rik,0.0302847,,,,,
1110028F18Rik,0,,,,,
1110032A03Rik,1.68142,,,,,
1110032F04Rik,0.223351,,,,,
1110034G24Rik,4.25061,,,,,
1110035M17Rik,0,,,,,
1110036E04Rik,0,,,,,
1110037F02Rik,11.3214,,,,,
1110038B12Rik,101.898,,,,,
1110038F14Rik,29.9256,,,,,
1110046J04Rik,0,,,,,
1110051M20Rik,1.40902,,,,,
1110054M08Rik,0,,,,,
1110057K04Rik,12.6076,,,,,
1110058L19Rik,15.7263,,,,,
1110059E24Rik,20.7314,,,,,
1110059G10Rik,2.71022,,,,,
1110059M19Rik,0,,,,,
1110065P20Rik,12.6897,,,,,
1190002F15Rik,2.82902,,,,,
1190002N15Rik,5.98197,,,,,
1190003J15Rik,22.8214,,,,,
1190003K10Rik,0,,,,,
1190005I06Rik,18.1791,,,,,
1190007I07Rik,22.4301,,,,,
1200011I18Rik,7.72486,,,,,
1200014J11Rik,9.04245,,,,,
1300002E11Rik,6.43592,,,,,
1300002K09Rik,0.0222551,,,,,
1300015D01Rik,0.0231404,,,,,
1300017J02Rik,0.164628,,,,,
1300018J18Rik,0,,,,,
1500002O10Rik,0.111012,,,,,
1500004A13Rik,0,,,,,
1500009C09Rik,0.255644,,,,,
1500009L16Rik,18.7679,,,,,
1500011B03Rik,18.8092,,,,,
1500011K16Rik,21.7509,,,,,
1500012F01Rik,75.7811,,,,,
1500012K07Rik,0,,,,,
1500015A07Rik,6.62103,,,,,
1500015L24Rik,0,,,,,
1500015O10Rik,0.389114,,,,,
1500016L03Rik,0,,,,,
1500017E21Rik,0,,,,,
1500032L24Rik,160.473,,,,,
1600002D24Rik,0,,,,,
1600002H07Rik,10.3495,,,,,
1600002K03Rik,5.71568,,,,,
1600010M07Rik,0,,,,,
1600012H06Rik,7.65484,,,,,
1600014C10Rik,2.07201,,,,,
1600014C23Rik,0,,,,,
1600014K23Rik,0.717693,,,,,
1600015I10Rik,0,,,,,
1600016N20Rik,1.17189,,,,,
1600019K03Rik,0,,,,,
1600020E01Rik,3.68803,,,,,
1600023N17Rik,0.425271,,,,,
1600025M17Rik,0.11146,,,,,
1600029D21Rik,1.6619,,,,,
1600029I14Rik,0,,,,,
1600029O15Rik,0.0314871,,,,,
1700001C02Rik,0,,,,,
1700001C19Rik,0,,,,,
1700001D01Rik,0.105844,,,,,
1700001F09Rik,0.0671992,,,,,
