gene,TPM
0610009B22Rik,21.211304
0610010K14Rik,149.42901
0610012G03Rik,50.4971
0610030E20Rik,9.739390499999999
0610040J01Rik,0.0962558
1110002E22Rik,0.00502793
1110004F10Rik,82.6930796
1110017D15Rik,0.45771182
1110025L11Rik,0.0
1110032A03Rik,4.282557150000001
1110032F04Rik,0.0
1110038F14Rik,31.9120475
1110051M20Rik,27.920666000000004
1110057P08Rik,0.0
1110059E24Rik,30.472295850000002
1110059G10Rik,6.370949
1110065P20Rik,61.109685
1190005I06Rik,1.4856137500000002
1190007I07Rik,8.1465915
1500009L16Rik,0.13728469999999998
1500011B03Rik,5.081894000000001
1520401A03Rik,0.0
1600012H06Rik,25.159395699999997
1600014C10Rik,9.864782
1600014C23Rik,0.0
1600029O15Rik,0.0755608
1700001F09Rik,0.0
1700001J03Rik,0.09984225
1700001K19Rik,0.1875025
1700001L19Rik,0.0608226
1700001O22Rik,0.5430042
1700001P01Rik,0.2742175
1700003E16Rik,2.030329
1700003F12Rik,4.3655230000000005
1700003H04Rik,0.0
1700003N22Rik,0.0
1700006A11Rik,0.0
1700007K13Rik,0.3705115
1700008O03Rik,0.1778886
1700008P02Rik,0.0
1700010B08Rik,0.0505593
1700010I14Rik,0.8049474999999999
1700010N08Rik,0.0
1700011M02Rik,0.0
1700012A03Rik,0.0
1700012B07Rik,0.0
1700012B09Rik,0.0
1700012P22Rik,0.0
1700013G24Rik,0.0
1700013H16Rik,0.0
1700014B07Rik,0.153957
1700014D04Rik,0.07506639999999999
1700015G11Rik,0.0
1700016C15Rik,0.04133935
1700016D06Rik,0.1592615
1700016K19Rik,0.0
1700017B05Rik,28.782449999999997
1700017N19Rik,0.0
1700018B08Rik,0.0
1700018G05Rik,0.0
1700018M17Rik,0.316217
1700019M22Rik,0.0
1700019N19Rik,0.0
1700020A23Rik,0.19929550000000001
1700020L13Rik,0.24699235
1700020L24Rik,0.874612
1700020N01Rik,0.0
1700020N15Rik,0.0
1700021F07Rik,0.0
1700022A21Rik,0.0
1700022I11Rik,0.037487125
1700024B05Rik,0.19775940000000003
1700024G13Rik,0.0
1700024J04Rik,0.0956517
1700025B11Rik,0.0
1700025C18Rik,0.0
1700025G04Rik,24.4780265
1700028J19Rik,0.8909904500000001
1700028K03Rik,0.018978684727500004
1700028P14Rik,0.0
1700029F12Rik,0.055229650000000005
1700029H14Rik,0.0
1700029I15Rik,0.9974305
1700029J07Rik,0.23461245000000003
1700030C10Rik,3.36051
1700030J22Rik,0.7485115
1700030K09Rik,4.853320500000001
1700031F05Rik,0.0
1700031L13Rik,0.0
1700031M16Rik,0.0
1700034I23Rik,0.0
1700034J05Rik,0.0
1700037C18Rik,1.8481771500000002
1700037H04Rik,98.76756549999999
1700040F15Rik,0.0
1700049E17Rik2,0.1423158
1700049L16Rik,0.0
1700056E22Rik,5.020110000000001
1700057G04Rik,0.18563449999999998
1700063K16Rik,0.0
1700064H15Rik,0.0
1700065I16Rik,0.0
1700066B19Rik,0.02591235
1700066M21Rik,13.47501
1700067K01Rik,0.5381711499999999
1700067P10Rik,0.0
1700069L16Rik,0.0
1700071K01Rik,0.0
1700073E17Rik,0.0
1700084M14Rik,0.0
1700086D15Rik,0.0
1700086L19Rik,0.0
1700088E04Rik,3.2075409002005983
1700091H14Rik,0.0
1700092M07Rik,0.8376185
1700094D03Rik,0.11263835
1700102P08Rik,0.335966
1700109H08Rik,1.4744543500000002
1700113H08Rik,0.0
1700122O11Rik,0.0
1700123K08Rik,0.0
1700123L14Rik,0.0
1700123O20Rik,28.38306
1700129C05Rik,0.0
1810009A15Rik,180.95704700000002
1810009J06Rik,0.0
1810010H24Rik,0.4404922
1810013L24Rik,35.59305
1810014B01Rik,6.189606499999999
1810018F18Rik,0.0
1810020O05Rik,0.0
1810024B03Rik,0.53092435
1810030O07Rik,17.7524
1810037I17Rik,79.89670000000001
1810046K07Rik,0.0
1810049J17Rik,34.127250000000004
1810055G02Rik,46.572539500000005
1810058I24Rik,111.76890500000002
