tracking_id,3T3 B1
0610005C13Rik,0
0610007N19Rik,18.1355
0610007P14Rik,61.1664
0610008F07Rik,0
0610009B14Rik,0
0610009B22Rik,18.3668
0610009D07Rik,34.202
0610009L18Rik,3.61416
0610009O20Rik,17.0351
0610010B08Rik,0.299753
0610010B08Rik,0.205437
0610010F05Rik,4.88301
0610010K14Rik,88.2279
0610011F06Rik,33.6038
0610012G03Rik,25.2441
0610012H03Rik,0
0610030E20Rik,5.02677
0610031J06Rik,51.448
0610031O16Rik,0
0610037L13Rik,16.4492
0610038B21Rik,0
0610038L08Rik,0
0610039K10Rik,0
0610040B10Rik,0.269991
0610040F04Rik,0
0610040J01Rik,0
0610043K17Rik,0
1100001G20Rik,0
1110001A16Rik,8.53646
1110001J03Rik,70.2912
1110002L01Rik,3.66521
1110004E09Rik,24.3807
1110004F10Rik,50.8897
1110006O24Rik,1.76113
1110007C09Rik,25.5278
1110008F13Rik,87.9544
1110008J03Rik,8.04158
1110008L16Rik,4.88964
1110008P14Rik,15.3497
1110012L19Rik,16.0923
1110015O18Rik,0
1110017D15Rik,0.22639
1110018G07Rik,8.19315
1110019D14Rik,0.854633
1110020A21Rik,0.381693
1110025L11Rik,0
1110028F11Rik,0
1110028F18Rik,0
1110032A03Rik,2.3716
1110032F04Rik,0
1110034G24Rik,1.72174
1110035M17Rik,0.472122
1110036E04Rik,0
1110037F02Rik,9.21692
1110038B12Rik,437.059
1110038F14Rik,25.2358
1110046J04Rik,0
1110051M20Rik,10.9142
1110054M08Rik,0
1110057K04Rik,11.4503
1110058L19Rik,24.771
1110059E24Rik,23.2258
1110059G10Rik,2.92485
1110059M19Rik,0
1110065P20Rik,45.2665
1190002F15Rik,25.4412
1190002N15Rik,5.45768
1190003J15Rik,0
1190003K10Rik,0
1190005I06Rik,0.820895
1190007I07Rik,9.08999
1200011I18Rik,6.83038
1200014J11Rik,6.52226
1300002E11Rik,6.10336
1300002K09Rik,0
1300015D01Rik,0
1300017J02Rik,0.0147888
1300018J18Rik,12.0513
1500002O10Rik,0
1500004A13Rik,0
1500009C09Rik,0
1500009L16Rik,0
1500011B03Rik,4.40129
1500011K16Rik,23.6963
1500012F01Rik,226.835
1500012K07Rik,0
1500015A07Rik,4.00867
