genes,Cell3.0_Pos_0,Cell4.0_Pos_0,Cell5.0_Pos_0,Cell7.0_Pos_0,Cell8.0_Pos_0,Cell9.0_Pos_0,Cell2.0_Pos_1,Cell3.0_Pos_1,Cell4.0_Pos_1,Cell5.0_Pos_2,Cell6.0_Pos_2,Cell7.0_Pos_2,Cell1.0_Pos_3,Cell3.0_Pos_3,Cell4.0_Pos_3,Cell2.0_Pos_4,Cell4.0_Pos_4,Cell5.0_Pos_4,Cell6.0_Pos_4,Cell3.0_Pos_5,Cell4.0_Pos_5,Cell5.0_Pos_5,Cell1.0_Pos_6,Cell2.0_Pos_6,Cell4.0_Pos_6,Cell5.0_Pos_6,Cell6.0_Pos_6,Cell4.0_Pos_7,Cell5.0_Pos_7,Cell6.0_Pos_7,Cell2.0_Pos_8,Cell3.0_Pos_8,Cell4.0_Pos_8,Cell5.0_Pos_8,Cell6.0_Pos_8,Cell7.0_Pos_8,Cell8.0_Pos_8,Cell10.0_Pos_8,Cell12.0_Pos_8,Cell2.0_Pos_9,Cell3.0_Pos_11,Cell4.0_Pos_11,Cell5.0_Pos_11,Cell2.0_Pos_12,Cell4.0_Pos_12,Cell1.0_Pos_13,Cell3.0_Pos_13,Cell4.0_Pos_13,Cell5.0_Pos_13,Cell7.0_Pos_13,Cell2.0_Pos_14,Cell4.0_Pos_14,Cell6.0_Pos_14,Cell7.0_Pos_14,Cell4.0_Pos_17,Cell6.0_Pos_17,Cell7.0_Pos_17,Cell8.0_Pos_17,Cell9.0_Pos_17,Cell2.0_Pos_18,Cell3.0_Pos_18,Cell5.0_Pos_18,Cell6.0_Pos_18,Cell7.0_Pos_18,Cell8.0_Pos_18,Cell2.0_Pos_19,Cell3.0_Pos_19,Cell4.0_Pos_20,Cell5.0_Pos_20,Cell6.0_Pos_20,Cell7.0_Pos_20,Cell2.0_Pos_21,Cell4.0_Pos_21,Cell5.0_Pos_21,Cell7.0_Pos_21,Cell1.0_Pos_22,Cell2.0_Pos_22,Cell3.0_Pos_22,Cell4.0_Pos_22,Cell5.0_Pos_22,Cell6.0_Pos_22,Cell7.0_Pos_22,Cell2.0_Pos_23,Cell4.0_Pos_23,Cell5.0_Pos_23,Cell6.0_Pos_23,Cell3.0_Pos_24,Cell5.0_Pos_24,Cell6.0_Pos_24,Cell8.0_Pos_24,Cell3.0_Pos_25,Cell7.0_Pos_25,Cell8.0_Pos_25,Cell9.0_Pos_25,Cell10.0_Pos_25,Cell11.0_Pos_25,Cell2.0_Pos_26,Cell4.0_Pos_26,Cell5.0_Pos_26,Cell6.0_Pos_26,Cell7.0_Pos_26,Cell8.0_Pos_26,Cell9.0_Pos_26,Cell2.0_Pos_27,Cell3.0_Pos_27,Cell6.0_Pos_28,Cell7.0_Pos_28,Cell1.0_Pos_29,Cell2.0_Pos_29,Cell3.0_Pos_30,Cell4.0_Pos_30,Cell5.0_Pos_30,Cell6.0_Pos_30,Cell7.0_Pos_30,Cell4.0_Pos_31,Cell5.0_Pos_31,Cell6.0_Pos_31,Cell7.0_Pos_31,Cell8.0_Pos_31,Cell6.0_Pos_32,Cell7.0_Pos_32,Cell8.0_Pos_32,Cell9.0_Pos_32,Cell6.0_Pos_33,Cell7.0_Pos_33,Cell3.0_Pos_34,Cell5.0_Pos_34,Cell1.0_Pos_37,Cell2.0_Pos_37,Cell3.0_Pos_37,Cell6.0_Pos_37,Cell7.0_Pos_37,Cell8.0_Pos_37,Cell10.0_Pos_37,Cell1.0_Pos_38,Cell3.0_Pos_38,Cell5.0_Pos_38,Cell6.0_Pos_38,Cell7.0_Pos_38,Cell3.0_Pos_39,Cell4.0_Pos_40,Cell5.0_Pos_40,Cell6.0_Pos_40,Cell2.0_Pos_41,Cell3.0_Pos_41,Cell6.0_Pos_41,Cell7.0_Pos_41,Cell8.0_Pos_41,Cell10.0_Pos_41,Cell11.0_Pos_41,Cell12.0_Pos_41,Cell1.0_Pos_42,Cell4.0_Pos_42,Cell6.0_Pos_42,Cell9.0_Pos_42,Cell2.0_Pos_43,Cell3.0_Pos_43,Cell4.0_Pos_43,Cell5.0_Pos_43,Cell6.0_Pos_43,Cell7.0_Pos_43,Cell8.0_Pos_43,Cell2.0_Pos_44,Cell4.0_Pos_44,Cell5.0_Pos_44,Cell6.0_Pos_44,Cell3.0_Pos_45,Cell4.0_Pos_45,Cell5.0_Pos_45,Cell6.0_Pos_45,Cell7.0_Pos_45,Cell8.0_Pos_45,Cell2.0_Pos_46,Cell3.0_Pos_46,Cell4.0_Pos_46,Cell5.0_Pos_46,Cell4.0_Pos_47,Cell6.0_Pos_47,Cell2.0_Pos_48,Cell7.0_Pos_48,Cell3.0_Pos_49,Cell5.0_Pos_49,Cell7.0_Pos_49,Cell8.0_Pos_49,Cell10.0_Pos_49,Cell11.0_Pos_49,Cell12.0_Pos_49,Cell1.0_Pos_50,Cell3.0_Pos_50,Cell5.0_Pos_50,Cell7.0_Pos_50,Cell8.0_Pos_50,Cell9.0_Pos_50,Cell10.0_Pos_50,Cell2.0_Pos_51,Cell4.0_Pos_51,Cell5.0_Pos_51,Cell6.0_Pos_51,Cell8.0_Pos_51,Cell9.0_Pos_51,Cell2.0_Pos_52,Cell4.0_Pos_52,Cell6.0_Pos_52,Cell7.0_Pos_52,Cell8.0_Pos_52,Cell10.0_Pos_52,Cell2.0_Pos_53,Cell3.0_Pos_53,Cell2.0_Pos_54,Cell4.0_Pos_54,Cell6.0_Pos_54,Cell7.0_Pos_54,Cell8.0_Pos_54,Cell9.0_Pos_54,Cell10.0_Pos_54,Cell3.0_Pos_55,Cell4.0_Pos_55,Cell5.0_Pos_55,Cell6.0_Pos_55,Cell7.0_Pos_55,Cell8.0_Pos_55,Cell2.0_Pos_56,Cell5.0_Pos_56,Cell2.0_Pos_57,Cell3.0_Pos_57,Cell5.0_Pos_57,Cell2.0_Pos_58,Cell3.0_Pos_58,Cell5.0_Pos_58,Cell4.0_Pos_59,Cell5.0_Pos_59,Cell1.0_Pos_60,Cell2.0_Pos_60,Cell3.0_Pos_60,Cell6.0_Pos_60,Cell7.0_Pos_60,Cell9.0_Pos_60,Cell2.0_Pos_61,Cell3.0_Pos_61,Cell4.0_Pos_61,Cell5.0_Pos_61,Cell6.0_Pos_61,Cell9.0_Pos_61,Cell10.0_Pos_61,Cell11.0_Pos_61,Cell1.0_Pos_62,Cell2.0_Pos_62,Cell4.0_Pos_62,Cell5.0_Pos_62,Cell6.0_Pos_62,Cell1.0_Pos_63,Cell2.0_Pos_63,Cell3.0_Pos_63,Cell10.0_Pos_63
2610301B20RIK,1.0,5.0,10.0,3.0,3.0,3.0,1.0,10.0,6.0,6.0,6.0,7.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,7.0,6.0,7.0,1.0,1.0,2.0,1.0,5.0,0.0,6.0,5.0,1.0,2.0,8.0,4.0,0.0,4.0,4.0,1.0,4.0,3.0,1.0,6.0,2.0,5.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0,7.0,4.0,9.0,3.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,12.0,1.0,6.0,0.0,1.0,2.0,4.0,1.0,2.0,4.0,0.0,7.0,0.0,4.0,4.0,3.0,4.0,5.0,1.0,1.0,0.0,2.0,1.0,4.0,5.0,0.0,2.0,3.0,1.0,1.0,3.0,5.0,3.0,3.0,4.0,1.0,5.0,2.0,6.0,2.0,2.0,2.0,5.0,3.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,5.0,0.0,2.0,4.0,4.0,0.0,2.0,0.0,1.0,2.0,3.0,2.0,6.0,5.0,3.0,7.0,3.0,1.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0,6.0,3.0,1.0,6.0,7.0,4.0,8.0,5.0,2.0,1.0,1.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,11.0,1.0,5.0,4.0,2.0,8.0,2.0,1.0,1.0,4.0,3.0,3.0,0.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0,1.0,1.0,11.0,3.0,1.0,0.0,2.0,7.0,5.0,0.0,3.0,5.0,5.0,1.0,1.0,5.0,5.0,2.0,4.0,5.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,8.0,1.0,11.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,6.0,4.0,4.0,3.0,0.0,0.0,2.0,1.0,2.0,3.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,2.0
9130023H24RIK,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,5.0,4.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,4.0,0.0,3.0,4.0,7.0,1.0,4.0,1.0,1.0,0.0,2.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,7.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,2.0,2.0,6.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,4.0,2.0,3.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,6.0,3.0,4.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,5.0,3.0,3.0,4.0,1.0,5.0,3.0,3.0,2.0,3.0,0.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,3.0,2.0,6.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,3.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,5.0,0.0,5.0,5.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,9.0,4.0,2.0,2.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,1.0,2.0,0.0,3.0,3.0,0.0,4.0,2.0,3.0,4.0,1.0,3.0,5.0,4.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,0.0,3.0,2.0,1.0,5.0,0.0,3.0,3.0,4.0,2.0,0.0,4.0,6.0,1.0,7.0,1.0,4.0,0.0,1.0,3.0,2.0,4.0,3.0,4.0,2.0,1.0
ABCB7,4.0,4.0,3.0,5.0,3.0,2.0,4.0,8.0,7.0,8.0,5.0,4.0,1.0,2.0,4.0,7.0,0.0,1.0,1.0,4.0,5.0,4.0,0.0,4.0,8.0,8.0,4.0,9.0,0.0,14.0,1.0,3.0,1.0,8.0,2.0,2.0,5.0,9.0,3.0,5.0,2.0,2.0,9.0,5.0,1.0,2.0,7.0,3.0,1.0,2.0,3.0,7.0,2.0,6.0,8.0,0.0,5.0,7.0,2.0,6.0,7.0,7.0,4.0,2.0,3.0,6.0,4.0,3.0,7.0,2.0,12.0,1.0,0.0,4.0,3.0,1.0,3.0,6.0,5.0,8.0,5.0,3.0,6.0,7.0,10.0,4.0,1.0,7.0,4.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0,12.0,3.0,5.0,4.0,5.0,4.0,7.0,0.0,5.0,7.0,2.0,1.0,6.0,1.0,1.0,1.0,4.0,1.0,3.0,5.0,4.0,5.0,2.0,0.0,3.0,3.0,4.0,6.0,1.0,3.0,4.0,0.0,3.0,0.0,3.0,2.0,5.0,2.0,4.0,7.0,5.0,4.0,4.0,0.0,5.0,4.0,3.0,4.0,4.0,3.0,0.0,0.0,6.0,4.0,1.0,2.0,2.0,3.0,11.0,8.0,10.0,7.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,8.0,1.0,6.0,3.0,0.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,6.0,4.0,5.0,8.0,10.0,5.0,2.0,5.0,3.0,4.0,6.0,7.0,0.0,8.0,4.0,4.0,0.0,2.0,3.0,7.0,5.0,7.0,5.0,8.0,1.0,6.0,7.0,3.0,5.0,3.0,5.0,6.0,4.0,5.0,1.0,9.0,9.0,5.0,2.0,3.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,5.0,3.0,4.0,6.0,5.0,5.0,4.0,7.0,3.0,8.0,2.0,7.0,2.0,3.0,1.0,2.0
ADAMTS9,1.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,7.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,2.0,1.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
AFAP1,2.0,3.0,6.0,10.0,4.0,20.0,10.0,17.0,9.0,12.0,2.0,7.0,6.0,2.0,19.0,4.0,2.0,1.0,4.0,9.0,8.0,5.0,12.0,6.0,10.0,5.0,8.0,8.0,6.0,9.0,1.0,9.0,2.0,1.0,9.0,4.0,4.0,14.0,14.0,12.0,7.0,13.0,12.0,17.0,5.0,3.0,6.0,9.0,5.0,3.0,5.0,9.0,11.0,11.0,9.0,6.0,5.0,9.0,6.0,5.0,9.0,15.0,4.0,11.0,6.0,12.0,9.0,7.0,9.0,4.0,10.0,0.0,5.0,5.0,5.0,1.0,11.0,9.0,12.0,9.0,5.0,9.0,6.0,5.0,3.0,12.0,0.0,9.0,5.0,4.0,3.0,4.0,3.0,1.0,9.0,10.0,10.0,5.0,7.0,6.0,9.0,6.0,5.0,16.0,5.0,16.0,5.0,1.0,5.0,9.0,14.0,8.0,9.0,0.0,0.0,1.0,6.0,6.0,5.0,3.0,5.0,7.0,11.0,4.0,1.0,8.0,2.0,8.0,6.0,11.0,11.0,0.0,4.0,1.0,6.0,9.0,9.0,9.0,7.0,11.0,4.0,8.0,11.0,0.0,7.0,4.0,7.0,15.0,4.0,1.0,1.0,1.0,23.0,8.0,5.0,12.0,8.0,5.0,10.0,9.0,16.0,13.0,3.0,9.0,13.0,9.0,2.0,2.0,17.0,4.0,0.0,15.0,4.0,1.0,4.0,13.0,4.0,5.0,2.0,5.0,4.0,15.0,2.0,7.0,1.0,18.0,10.0,2.0,6.0,11.0,13.0,10.0,10.0,10.0,7.0,17.0,15.0,4.0,8.0,3.0,1.0,1.0,2.0,3.0,8.0,4.0,7.0,3.0,9.0,6.0,8.0,10.0,10.0,2.0,11.0,4.0,4.0,6.0,4.0,16.0,10.0,9.0,8.0,4.0,12.0,25.0,5.0,12.0,6.0,13.0,17.0,11.0,3.0,6.0,6.0,3.0,5.0,4.0,4.0,0.0,10.0,6.0,6.0,3.0,8.0,7.0,4.0,5.0,12.0,9.0,4.0,11.0,1.0,1.0
ANXA8,3.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,3.0,17.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,3.0,0.0,1.0,7.0,0.0,13.0,4.0,2.0,0.0,8.0,0.0,6.0,12.0,10.0,0.0,0.0,0.0,11.0,0.0,13.0,10.0,1.0,4.0,1.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,25.0,0.0,0.0,9.0,2.0,5.0,0.0,25.0,0.0,0.0,1.0,26.0,0.0,5.0,12.0,1.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,3.0,12.0,2.0,11.0,1.0,3.0,0.0,19.0,3.0,0.0,4.0,5.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,8.0,0.0,1.0,2.0,3.0,12.0,0.0,2.0,1.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,5.0,0.0,1.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2.0,0.0,3.0,51.0,1.0,0.0,3.0,9.0,2.0,0.0,15.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
ARHGAP28,7.0,6.0,2.0,11.0,8.0,13.0,11.0,14.0,10.0,16.0,7.0,11.0,3.0,2.0,7.0,11.0,1.0,1.0,2.0,9.0,7.0,10.0,7.0,12.0,4.0,7.0,6.0,14.0,4.0,14.0,0.0,5.0,3.0,4.0,13.0,4.0,6.0,25.0,12.0,6.0,8.0,7.0,11.0,10.0,8.0,0.0,9.0,21.0,5.0,5.0,8.0,11.0,6.0,5.0,8.0,4.0,7.0,14.0,10.0,10.0,22.0,7.0,18.0,14.0,7.0,11.0,1.0,4.0,7.0,10.0,19.0,2.0,4.0,4.0,6.0,3.0,11.0,16.0,13.0,22.0,4.0,3.0,11.0,8.0,12.0,15.0,2.0,8.0,7.0,2.0,9.0,3.0,9.0,6.0,12.0,15.0,0.0,4.0,15.0,6.0,8.0,6.0,23.0,8.0,13.0,18.0,20.0,1.0,8.0,6.0,10.0,8.0,11.0,2.0,1.0,0.0,6.0,3.0,4.0,5.0,16.0,14.0,3.0,1.0,0.0,9.0,19.0,11.0,6.0,15.0,6.0,0.0,8.0,3.0,2.0,4.0,10.0,4.0,1.0,5.0,2.0,12.0,15.0,2.0,1.0,3.0,1.0,14.0,22.0,1.0,4.0,8.0,11.0,15.0,3.0,4.0,4.0,6.0,12.0,3.0,14.0,9.0,4.0,2.0,16.0,6.0,7.0,5.0,2.0,1.0,2.0,2.0,13.0,3.0,8.0,26.0,8.0,12.0,8.0,8.0,6.0,9.0,8.0,4.0,9.0,10.0,17.0,5.0,3.0,1.0,12.0,14.0,8.0,8.0,6.0,14.0,17.0,7.0,12.0,7.0,3.0,8.0,6.0,7.0,8.0,13.0,7.0,6.0,7.0,9.0,7.0,7.0,7.0,1.0,7.0,11.0,4.0,9.0,6.0,8.0,8.0,9.0,13.0,5.0,8.0,6.0,6.0,3.0,8.0,5.0,17.0,6.0,11.0,13.0,4.0,10.0,5.0,2.0,3.0,14.0,6.0,9.0,12.0,6.0,2.0,4.0,2.0,0.0,13.0,2.0,6.0,21.0,1.0,6.0
AXIN1,8.0,7.0,6.0,10.0,10.0,13.0,15.0,16.0,10.0,14.0,13.0,7.0,1.0,13.0,18.0,4.0,9.0,10.0,10.0,13.0,7.0,11.0,16.0,13.0,20.0,26.0,13.0,11.0,6.0,18.0,2.0,9.0,4.0,12.0,11.0,14.0,8.0,14.0,10.0,9.0,6.0,18.0,21.0,22.0,12.0,7.0,16.0,9.0,8.0,11.0,7.0,17.0,14.0,10.0,16.0,8.0,19.0,18.0,12.0,10.0,23.0,7.0,13.0,16.0,20.0,13.0,11.0,6.0,9.0,12.0,22.0,4.0,4.0,11.0,11.0,8.0,16.0,11.0,12.0,22.0,12.0,15.0,15.0,16.0,10.0,27.0,11.0,11.0,8.0,6.0,4.0,9.0,14.0,4.0,10.0,15.0,10.0,9.0,16.0,12.0,8.0,10.0,20.0,17.0,7.0,35.0,15.0,4.0,4.0,17.0,14.0,9.0,24.0,2.0,3.0,3.0,13.0,20.0,15.0,9.0,12.0,5.0,10.0,1.0,2.0,7.0,17.0,12.0,10.0,24.0,11.0,1.0,5.0,2.0,7.0,9.0,21.0,8.0,16.0,5.0,10.0,18.0,11.0,9.0,9.0,4.0,8.0,11.0,8.0,6.0,1.0,13.0,18.0,9.0,7.0,7.0,15.0,14.0,11.0,16.0,17.0,18.0,10.0,10.0,19.0,9.0,6.0,7.0,10.0,9.0,4.0,6.0,7.0,10.0,10.0,12.0,14.0,5.0,7.0,9.0,18.0,16.0,12.0,20.0,16.0,12.0,20.0,10.0,6.0,14.0,30.0,18.0,16.0,17.0,20.0,16.0,16.0,6.0,6.0,11.0,11.0,10.0,6.0,11.0,13.0,19.0,6.0,6.0,5.0,17.0,11.0,24.0,14.0,5.0,15.0,8.0,10.0,6.0,13.0,13.0,30.0,17.0,14.0,10.0,11.0,17.0,12.0,16.0,10.0,21.0,19.0,15.0,16.0,4.0,14.0,13.0,13.0,9.0,13.0,12.0,20.0,12.0,30.0,12.0,18.0,11.0,11.0,11.0,15.0,14.0,12.0,11.0,6.0,8.0
BGN,280.0,296.0,287.0,481.0,335.0,505.0,468.0,709.0,446.0,462.0,401.0,397.0,328.0,366.0,601.0,319.0,233.0,224.0,227.0,353.0,345.0,204.0,434.0,327.0,476.0,581.0,489.0,459.0,242.0,722.0,101.0,322.0,108.0,583.0,384.0,502.0,389.0,478.0,505.0,347.0,444.0,605.0,597.0,710.0,358.0,277.0,428.0,278.0,139.0,314.0,230.0,678.0,206.0,459.0,636.0,405.0,490.0,459.0,459.0,475.0,364.0,600.0,348.0,535.0,403.0,529.0,380.0,264.0,615.0,277.0,526.0,133.0,146.0,371.0,274.0,166.0,412.0,347.0,381.0,723.0,310.0,304.0,275.0,323.0,384.0,743.0,193.0,375.0,299.0,205.0,250.0,423.0,438.0,147.0,318.0,457.0,132.0,296.0,393.0,398.0,558.0,448.0,467.0,384.0,327.0,680.0,510.0,147.0,227.0,503.0,1007.0,381.0,413.0,84.0,77.0,12.0,513.0,290.0,485.0,337.0,381.0,268.0,296.0,72.0,109.0,266.0,451.0,336.0,379.0,774.0,500.0,78.0,229.0,61.0,99.0,373.0,448.0,196.0,300.0,357.0,343.0,470.0,279.0,213.0,213.0,198.0,204.0,383.0,413.0,119.0,163.0,274.0,517.0,368.0,286.0,250.0,296.0,275.0,463.0,560.0,508.0,342.0,321.0,306.0,507.0,351.0,189.0,175.0,440.0,138.0,35.0,363.0,436.0,205.0,414.0,311.0,269.0,381.0,269.0,232.0,279.0,558.0,347.0,208.0,219.0,507.0,282.0,426.0,327.0,483.0,657.0,243.0,479.0,422.0,473.0,488.0,437.0,117.0,527.0,266.0,247.0,252.0,294.0,249.0,441.0,434.0,224.0,409.0,317.0,345.0,296.0,674.0,674.0,252.0,548.0,292.0,289.0,383.0,369.0,554.0,580.0,546.0,395.0,286.0,353.0,559.0,321.0,407.0,192.0,536.0,707.0,418.0,391.0,218.0,591.0,590.0,318.0,207.0,280.0,313.0,591.0,464.0,560.0,265.0,433.0,397.0,162.0,296.0,429.0,494.0,162.0,356.0,114.0,291.0
BROX,4.0,5.0,6.0,14.0,7.0,6.0,7.0,6.0,8.0,12.0,2.0,3.0,1.0,5.0,14.0,8.0,5.0,4.0,7.0,8.0,3.0,1.0,7.0,6.0,9.0,9.0,5.0,4.0,3.0,14.0,7.0,5.0,0.0,3.0,4.0,7.0,8.0,11.0,9.0,7.0,6.0,11.0,16.0,10.0,2.0,3.0,9.0,9.0,3.0,2.0,7.0,12.0,7.0,3.0,8.0,7.0,5.0,12.0,7.0,9.0,8.0,6.0,10.0,8.0,8.0,2.0,7.0,8.0,10.0,4.0,10.0,1.0,1.0,4.0,5.0,4.0,8.0,5.0,4.0,20.0,5.0,12.0,4.0,6.0,13.0,8.0,3.0,8.0,2.0,3.0,3.0,2.0,8.0,1.0,3.0,5.0,4.0,1.0,9.0,2.0,6.0,4.0,6.0,8.0,4.0,8.0,9.0,4.0,1.0,6.0,14.0,4.0,7.0,0.0,1.0,0.0,6.0,3.0,9.0,3.0,6.0,4.0,11.0,1.0,0.0,7.0,11.0,2.0,2.0,10.0,12.0,0.0,4.0,0.0,2.0,8.0,5.0,8.0,8.0,8.0,7.0,20.0,3.0,0.0,4.0,4.0,1.0,6.0,7.0,0.0,1.0,3.0,4.0,10.0,7.0,0.0,8.0,7.0,7.0,6.0,6.0,3.0,6.0,7.0,4.0,11.0,4.0,2.0,12.0,3.0,0.0,5.0,8.0,1.0,3.0,14.0,3.0,5.0,1.0,3.0,8.0,9.0,5.0,3.0,6.0,12.0,0.0,10.0,7.0,4.0,13.0,9.0,9.0,8.0,9.0,6.0,4.0,5.0,4.0,4.0,4.0,1.0,1.0,3.0,11.0,7.0,5.0,9.0,6.0,2.0,7.0,9.0,13.0,4.0,11.0,4.0,7.0,1.0,7.0,7.0,8.0,7.0,16.0,6.0,2.0,11.0,6.0,4.0,2.0,12.0,20.0,10.0,10.0,7.0,13.0,12.0,8.0,3.0,7.0,4.0,7.0,7.0,5.0,5.0,9.0,7.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0
