genes,cell3_pos0,cell4_pos0,cell8_pos0,cell9_pos0,cell2_pos1,cell4_pos1,cell5_pos1,cell6_pos1,cell7_pos1,cell9_pos1,cell10_pos1,cell12_pos1,cell13_pos1,cell4_pos2,cell5_pos2,cell6_pos2,cell7_pos2,cell8_pos2,cell11_pos2,cell12_pos2,cell13_pos2,cell15_pos2,cell4_pos3,cell5_pos3,cell6_pos3,cell8_pos3,cell9_pos3,cell11_pos3,cell12_pos3,cell6_pos4,cell7_pos4,cell8_pos4,cell11_pos4,cell12_pos4,cell13_pos4,cell14_pos4,cell15_pos4,cell3_pos5,cell4_pos5,cell6_pos5,cell7_pos5,cell3_pos6,cell4_pos6,cell8_pos6,cell9_pos6,cell13_pos6,cell15_pos6,cell2_pos7,cell4_pos7,cell5_pos7,cell7_pos7,cell10_pos7,cell11_pos7,cell12_pos7,cell14_pos7,cell15_pos7,cell16_pos7,cell17_pos7,cell3_pos8,cell7_pos8,cell10_pos8,cell11_pos8,cell6_pos9,cell7_pos9,cell8_pos9,cell9_pos9,cell12_pos9,cell13_pos9,cell17_pos9,cell4_pos10,cell6_pos10,cell7_pos10,cell8_pos10,cell9_pos10,cell10_pos10,cell6_pos11,cell8_pos11,cell9_pos11,cell10_pos11,cell11_pos11,cell12_pos11,cell13_pos11,cell14_pos11,cell4_pos12,cell5_pos12,cell7_pos12,cell9_pos12,cell2_pos13,cell3_pos13,cell4_pos13,cell5_pos13,cell8_pos13,cell9_pos13,cell11_pos13,cell12_pos13,cell13_pos13,cell14_pos13,cell17_pos13,cell18_pos13,cell3_pos14,cell4_pos14,cell5_pos14,cell6_pos14,cell7_pos14,cell9_pos14,cell11_pos14,cell12_pos14,cell13_pos14,cell16_pos14,cell18_pos14,cell4_pos15,cell5_pos15,cell7_pos15,cell11_pos15,cell5_pos16,cell7_pos16,cell8_pos16,cell9_pos16,cell10_pos16,cell12_pos16,cell13_pos16,cell2_pos17,cell4_pos17,cell6_pos17,cell8_pos17,cell10_pos17,cell11_pos17,cell12_pos17,cell2_pos18,cell4_pos18,cell5_pos18,cell7_pos18,cell8_pos18,cell2_pos19,cell3_pos19,cell5_pos19,cell6_pos19,cell7_pos19,cell9_pos19,cell4_pos20,cell6_pos20,cell8_pos20,cell10_pos20,cell1_pos21,cell4_pos21,cell5_pos21,cell6_pos21,cell8_pos21,cell10_pos21,cell5_pos22,cell7_pos22,cell8_pos22,cell9_pos22,cell11_pos22,cell5_pos23,cell8_pos23,cell9_pos23,cell10_pos23,cell12_pos23,cell14_pos23,cell15_pos23,cell17_pos23,cell18_pos23,cell2_pos24,cell3_pos24,cell6_pos24,cell7_pos24,cell8_pos24,cell9_pos24,cell10_pos24,cell13_pos24,cell4_pos25,cell6_pos25,cell2_pos26,cell4_pos26,cell5_pos26,cell6_pos26,cell7_pos26,cell8_pos26,cell9_pos26,cell10_pos26,cell11_pos26,cell12_pos26,cell2_pos27,cell3_pos27,cell5_pos27,cell6_pos27,cell7_pos27,cell8_pos27,cell9_pos27,cell3_pos28,cell6_pos28,cell7_pos28,cell9_pos28,cell11_pos28,cell12_pos28,cell5_pos29,cell7_pos29,cell9_pos29,cell11_pos29,cell12_pos29,cell13_pos29,cell4_pos30,cell5_pos30
BGN,592.0,503.0,539.0,318.0,246.0,668.0,309.0,664.0,387.0,259.0,540.0,357.0,260.0,682.0,610.0,315.0,352.0,451.0,255.0,772.0,493.0,709.0,514.0,453.0,998.0,782.0,905.0,154.0,493.0,411.0,924.0,659.0,585.0,613.0,408.0,934.0,748.0,518.0,619.0,561.0,537.0,260.0,615.0,701.0,918.0,559.0,488.0,882.0,726.0,328.0,532.0,558.0,626.0,712.0,630.0,490.0,260.0,630.0,203.0,1100.0,929.0,569.0,730.0,1172.0,979.0,798.0,494.0,171.0,1016.0,795.0,172.0,701.0,869.0,373.0,527.0,590.0,370.0,567.0,525.0,601.0,267.0,172.0,403.0,266.0,834.0,741.0,411.0,790.0,587.0,889.0,362.0,104.0,1000.0,333.0,613.0,939.0,505.0,566.0,691.0,561.0,460.0,812.0,816.0,188.0,804.0,1036.0,676.0,650.0,842.0,743.0,761.0,262.0,451.0,712.0,968.0,818.0,515.0,646.0,216.0,760.0,477.0,496.0,357.0,517.0,562.0,464.0,542.0,258.0,595.0,605.0,630.0,698.0,378.0,310.0,742.0,610.0,369.0,507.0,637.0,357.0,794.0,341.0,355.0,613.0,996.0,477.0,382.0,934.0,399.0,544.0,942.0,434.0,567.0,663.0,717.0,658.0,536.0,751.0,644.0,411.0,187.0,345.0,484.0,517.0,306.0,691.0,862.0,433.0,862.0,446.0,527.0,456.0,810.0,314.0,310.0,512.0,484.0,262.0,314.0,345.0,463.0,598.0,281.0,534.0,736.0,353.0,696.0,407.0,466.0,859.0,464.0,354.0,268.0,788.0,665.0,758.0,373.0,281.0,657.0,333.0,525.0,721.0,474.0,437.0
CCND1,26.0,55.0,25.0,94.0,69.0,71.0,24.0,78.0,67.0,66.0,30.0,14.0,17.0,90.0,59.0,24.0,30.0,80.0,15.0,48.0,61.0,30.0,12.0,86.0,91.0,49.0,49.0,25.0,86.0,5.0,68.0,79.0,33.0,42.0,131.0,82.0,157.0,68.0,68.0,114.0,123.0,30.0,58.0,56.0,128.0,75.0,112.0,207.0,64.0,32.0,62.0,54.0,118.0,53.0,234.0,21.0,12.0,30.0,35.0,110.0,98.0,143.0,120.0,106.0,234.0,238.0,103.0,18.0,99.0,81.0,7.0,138.0,129.0,53.0,31.0,165.0,67.0,54.0,36.0,170.0,48.0,32.0,83.0,19.0,159.0,139.0,58.0,150.0,31.0,70.0,32.0,17.0,80.0,62.0,90.0,94.0,62.0,65.0,111.0,122.0,44.0,72.0,61.0,3.0,96.0,64.0,122.0,80.0,57.0,59.0,71.0,48.0,153.0,100.0,198.0,120.0,66.0,130.0,24.0,130.0,70.0,32.0,84.0,150.0,80.0,32.0,137.0,29.0,124.0,97.0,85.0,57.0,91.0,46.0,67.0,105.0,63.0,63.0,147.0,35.0,80.0,88.0,37.0,84.0,96.0,82.0,28.0,143.0,77.0,73.0,101.0,109.0,92.0,99.0,105.0,90.0,42.0,122.0,46.0,43.0,41.0,147.0,70.0,55.0,10.0,55.0,143.0,24.0,80.0,47.0,160.0,36.0,166.0,86.0,51.0,108.0,119.0,67.0,69.0,61.0,104.0,99.0,7.0,62.0,191.0,125.0,76.0,68.0,145.0,41.0,88.0,41.0,97.0,105.0,89.0,193.0,99.0,22.0,99.0,80.0,45.0,55.0,150.0,57.0
CDKN1A,103.0,48.0,31.0,43.0,20.0,88.0,46.0,38.0,8.0,12.0,28.0,9.0,4.0,28.0,8.0,22.0,26.0,11.0,15.0,47.0,68.0,110.0,29.0,28.0,16.0,17.0,28.0,38.0,45.0,11.0,86.0,77.0,31.0,18.0,23.0,26.0,27.0,18.0,8.0,35.0,56.0,2.0,37.0,18.0,48.0,5.0,16.0,146.0,14.0,12.0,19.0,17.0,21.0,43.0,240.0,8.0,13.0,12.0,6.0,21.0,55.0,31.0,250.0,73.0,32.0,75.0,60.0,10.0,41.0,14.0,8.0,16.0,32.0,17.0,74.0,22.0,115.0,52.0,22.0,28.0,9.0,2.0,18.0,11.0,171.0,88.0,115.0,15.0,59.0,74.0,129.0,18.0,113.0,53.0,23.0,77.0,198.0,17.0,77.0,24.0,38.0,87.0,204.0,20.0,28.0,207.0,125.0,17.0,51.0,21.0,103.0,8.0,138.0,79.0,64.0,62.0,40.0,28.0,33.0,212.0,64.0,91.0,8.0,11.0,9.0,9.0,26.0,15.0,20.0,9.0,123.0,13.0,6.0,6.0,6.0,84.0,15.0,10.0,32.0,27.0,48.0,15.0,51.0,17.0,190.0,20.0,26.0,76.0,14.0,8.0,43.0,15.0,70.0,16.0,14.0,29.0,32.0,303.0,24.0,21.0,9.0,34.0,13.0,24.0,74.0,39.0,47.0,5.0,108.0,15.0,72.0,11.0,29.0,46.0,11.0,14.0,69.0,27.0,24.0,31.0,27.0,32.0,37.0,8.0,22.0,26.0,30.0,11.0,20.0,200.0,10.0,25.0,13.0,100.0,141.0,27.0,23.0,15.0,89.0,5.0,7.0,17.0,127.0,144.0
COL4A1,46.0,34.0,45.0,26.0,31.0,53.0,10.0,92.0,44.0,43.0,93.0,75.0,26.0,45.0,60.0,22.0,46.0,49.0,33.0,74.0,81.0,95.0,62.0,55.0,50.0,75.0,68.0,11.0,63.0,50.0,49.0,44.0,63.0,98.0,35.0,79.0,72.0,91.0,89.0,58.0,62.0,33.0,20.0,46.0,80.0,45.0,101.0,48.0,59.0,26.0,79.0,42.0,65.0,74.0,62.0,30.0,20.0,31.0,17.0,295.0,96.0,58.0,47.0,87.0,84.0,75.0,35.0,14.0,57.0,64.0,13.0,75.0,90.0,18.0,62.0,55.0,23.0,42.0,47.0,41.0,22.0,17.0,42.0,26.0,81.0,102.0,38.0,62.0,43.0,29.0,27.0,8.0,73.0,21.0,36.0,139.0,29.0,33.0,57.0,44.0,15.0,72.0,45.0,13.0,66.0,89.0,61.0,29.0,64.0,54.0,59.0,20.0,45.0,47.0,41.0,42.0,34.0,43.0,62.0,40.0,33.0,31.0,17.0,61.0,38.0,14.0,42.0,16.0,26.0,31.0,54.0,45.0,36.0,36.0,112.0,32.0,31.0,32.0,53.0,8.0,92.0,31.0,24.0,45.0,127.0,41.0,56.0,63.0,45.0,67.0,59.0,33.0,41.0,83.0,40.0,65.0,37.0,36.0,54.0,27.0,25.0,33.0,53.0,39.0,63.0,35.0,65.0,44.0,44.0,46.0,22.0,22.0,93.0,19.0,44.0,57.0,26.0,18.0,47.0,34.0,78.0,104.0,40.0,47.0,61.0,26.0,59.0,27.0,34.0,139.0,33.0,28.0,13.0,63.0,50.0,52.0,19.0,33.0,48.0,39.0,38.0,86.0,55.0,32.0
DVL2,27.0,28.0,25.0,17.0,13.0,49.0,15.0,45.0,21.0,15.0,19.0,28.0,24.0,51.0,42.0,23.0,24.0,31.0,8.0,40.0,28.0,38.0,29.0,21.0,56.0,58.0,40.0,10.0,38.0,32.0,33.0,44.0,28.0,35.0,16.0,41.0,43.0,24.0,52.0,34.0,39.0,14.0,41.0,31.0,43.0,33.0,30.0,44.0,35.0,17.0,35.0,24.0,47.0,62.0,28.0,29.0,24.0,32.0,8.0,59.0,27.0,19.0,63.0,37.0,42.0,34.0,43.0,13.0,39.0,53.0,9.0,39.0,36.0,23.0,32.0,43.0,20.0,30.0,36.0,32.0,19.0,12.0,27.0,17.0,35.0,35.0,21.0,30.0,28.0,28.0,21.0,8.0,34.0,8.0,30.0,39.0,13.0,20.0,33.0,26.0,18.0,44.0,44.0,7.0,48.0,49.0,41.0,37.0,39.0,42.0,32.0,27.0,46.0,65.0,36.0,61.0,22.0,24.0,5.0,25.0,16.0,25.0,20.0,24.0,29.0,16.0,35.0,19.0,43.0,19.0,16.0,45.0,33.0,14.0,26.0,43.0,18.0,22.0,37.0,18.0,46.0,20.0,7.0,35.0,32.0,37.0,27.0,41.0,24.0,17.0,55.0,25.0,26.0,35.0,41.0,47.0,29.0,41.0,30.0,20.0,7.0,19.0,22.0,34.0,19.0,25.0,56.0,20.0,42.0,13.0,33.0,27.0,51.0,11.0,7.0,27.0,20.0,18.0,15.0,15.0,14.0,19.0,12.0,39.0,46.0,24.0,48.0,21.0,22.0,53.0,20.0,29.0,28.0,55.0,39.0,39.0,30.0,22.0,36.0,36.0,39.0,40.0,30.0,22.0
MXD1,4.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,6.0,4.0,2.0,1.0,1.0,0.0,5.0,3.0,2.0,3.0,0.0,6.0,5.0,4.0,0.0,7.0,2.0,2.0,3.0,3.0,5.0,0.0,2.0,4.0,1.0,5.0,6.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,6.0,0.0,2.0,2.0,3.0,3.0,1.0,3.0,5.0,2.0,1.0,3.0,1.0,5.0,1.0,0.0,3.0,2.0,1.0,4.0,0.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,6.0,4.0,3.0,3.0,4.0,1.0,3.0,0.0,5.0,1.0,1.0,5.0,2.0,3.0,5.0,5.0,1.0,6.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,8.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,9.0,3.0,2.0,6.0,0.0,1.0,3.0,1.0,2.0,4.0,0.0,2.0,1.0,7.0,3.0,1.0,3.0,1.0,3.0,9.0,2.0,3.0,7.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,2.0,0.0,2.0,5.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,0.0,1.0,2.0,4.0,4.0,3.0,3.0,1.0,0.0,1.0,4.0,5.0,0.0,1.0,3.0,5.0,4.0,4.0,1.0,6.0,2.0,3.0,2.0,4.0,3.0,1.0
NFKB2,24.0,21.0,43.0,43.0,23.0,33.0,17.0,33.0,24.0,26.0,29.0,21.0,11.0,35.0,17.0,15.0,28.0,19.0,7.0,45.0,23.0,39.0,21.0,32.0,37.0,27.0,40.0,7.0,17.0,11.0,26.0,32.0,21.0,54.0,29.0,49.0,89.0,18.0,29.0,31.0,31.0,14.0,34.0,52.0,52.0,38.0,19.0,102.0,39.0,16.0,33.0,30.0,33.0,27.0,46.0,24.0,27.0,37.0,6.0,55.0,50.0,43.0,43.0,45.0,60.0,29.0,30.0,3.0,57.0,69.0,5.0,31.0,35.0,32.0,33.0,39.0,13.0,27.0,20.0,42.0,19.0,8.0,36.0,27.0,54.0,85.0,23.0,49.0,25.0,44.0,9.0,15.0,25.0,30.0,19.0,64.0,33.0,14.0,60.0,26.0,28.0,17.0,40.0,16.0,35.0,56.0,50.0,41.0,32.0,25.0,41.0,25.0,76.0,43.0,69.0,54.0,39.0,26.0,14.0,27.0,17.0,22.0,13.0,43.0,30.0,24.0,27.0,18.0,24.0,27.0,30.0,25.0,22.0,11.0,34.0,22.0,13.0,23.0,29.0,23.0,32.0,37.0,13.0,25.0,57.0,27.0,22.0,39.0,15.0,20.0,49.0,17.0,41.0,30.0,35.0,39.0,19.0,49.0,18.0,23.0,11.0,38.0,19.0,27.0,13.0,16.0,45.0,33.0,26.0,17.0,24.0,8.0,36.0,16.0,25.0,19.0,21.0,17.0,20.0,16.0,19.0,71.0,13.0,27.0,33.0,29.0,27.0,49.0,34.0,35.0,24.0,12.0,9.0,37.0,20.0,55.0,43.0,20.0,60.0,18.0,48.0,38.0,56.0,25.0
POLDIP3,51.0,56.0,39.0,46.0,30.0,65.0,28.0,73.0,48.0,29.0,38.0,31.0,31.0,81.0,30.0,25.0,40.0,37.0,21.0,62.0,55.0,60.0,32.0,31.0,67.0,30.0,73.0,12.0,57.0,20.0,56.0,67.0,35.0,58.0,29.0,79.0,64.0,34.0,54.0,43.0,50.0,23.0,39.0,58.0,69.0,49.0,49.0,81.0,45.0,48.0,30.0,49.0,52.0,63.0,48.0,29.0,22.0,34.0,10.0,47.0,75.0,52.0,89.0,72.0,86.0,78.0,48.0,9.0,85.0,60.0,9.0,55.0,71.0,32.0,44.0,44.0,33.0,33.0,62.0,54.0,25.0,16.0,32.0,40.0,75.0,60.0,43.0,95.0,35.0,69.0,26.0,11.0,60.0,20.0,56.0,68.0,34.0,42.0,61.0,54.0,44.0,54.0,58.0,16.0,53.0,75.0,39.0,34.0,43.0,45.0,62.0,35.0,52.0,71.0,56.0,63.0,44.0,45.0,14.0,53.0,45.0,42.0,31.0,57.0,52.0,49.0,77.0,20.0,40.0,33.0,40.0,52.0,48.0,12.0,52.0,64.0,30.0,42.0,75.0,36.0,65.0,34.0,26.0,41.0,63.0,57.0,27.0,72.0,34.0,30.0,86.0,37.0,36.0,71.0,73.0,55.0,39.0,70.0,48.0,37.0,12.0,39.0,58.0,41.0,31.0,49.0,76.0,23.0,69.0,27.0,73.0,31.0,80.0,36.0,23.0,39.0,39.0,34.0,26.0,36.0,58.0,81.0,16.0,50.0,68.0,46.0,68.0,53.0,41.0,59.0,37.0,39.0,20.0,55.0,71.0,74.0,38.0,37.0,66.0,39.0,46.0,59.0,46.0,42.0
SH3KBP1,28.0,39.0,28.0,18.0,27.0,51.0,10.0,46.0,31.0,19.0,19.0,25.0,18.0,60.0,37.0,13.0,12.0,36.0,14.0,64.0,46.0,55.0,25.0,26.0,66.0,39.0,47.0,10.0,40.0,12.0,50.0,33.0,38.0,27.0,27.0,48.0,45.0,41.0,42.0,54.0,59.0,15.0,31.0,19.0,70.0,28.0,27.0,63.0,48.0,21.0,35.0,37.0,28.0,60.0,50.0,32.0,14.0,40.0,4.0,42.0,39.0,52.0,48.0,57.0,62.0,52.0,40.0,9.0,39.0,52.0,4.0,64.0,41.0,26.0,34.0,57.0,9.0,39.0,35.0,40.0,18.0,11.0,19.0,11.0,58.0,56.0,20.0,44.0,22.0,45.0,32.0,5.0,66.0,13.0,45.0,40.0,19.0,34.0,40.0,33.0,25.0,39.0,42.0,9.0,36.0,44.0,56.0,17.0,28.0,30.0,31.0,16.0,41.0,75.0,69.0,49.0,23.0,36.0,14.0,42.0,25.0,27.0,19.0,47.0,57.0,23.0,60.0,9.0,29.0,27.0,31.0,46.0,21.0,26.0,58.0,35.0,19.0,36.0,62.0,22.0,27.0,21.0,21.0,54.0,56.0,50.0,19.0,63.0,27.0,38.0,65.0,53.0,35.0,42.0,29.0,29.0,18.0,30.0,46.0,19.0,7.0,40.0,42.0,30.0,11.0,18.0,50.0,26.0,53.0,31.0,65.0,10.0,103.0,28.0,18.0,53.0,45.0,11.0,17.0,23.0,24.0,29.0,14.0,38.0,49.0,17.0,38.0,39.0,14.0,56.0,39.0,22.0,22.0,31.0,43.0,41.0,25.0,15.0,46.0,30.0,39.0,40.0,44.0,12.0
SMARCA4,29.0,15.0,14.0,18.0,13.0,27.0,13.0,45.0,13.0,15.0,24.0,21.0,10.0,18.0,15.0,15.0,17.0,25.0,13.0,29.0,23.0,45.0,17.0,16.0,31.0,34.0,33.0,9.0,37.0,7.0,18.0,23.0,14.0,33.0,12.0,56.0,46.0,17.0,17.0,25.0,14.0,18.0,12.0,29.0,37.0,23.0,18.0,46.0,26.0,16.0,30.0,26.0,28.0,30.0,55.0,19.0,26.0,22.0,3.0,23.0,29.0,23.0,17.0,12.0,25.0,26.0,22.0,4.0,30.0,17.0,4.0,24.0,33.0,14.0,14.0,17.0,15.0,21.0,24.0,30.0,10.0,9.0,15.0,9.0,24.0,28.0,30.0,30.0,14.0,29.0,15.0,12.0,40.0,23.0,26.0,36.0,23.0,20.0,37.0,24.0,16.0,21.0,26.0,10.0,33.0,30.0,35.0,46.0,26.0,24.0,22.0,3.0,28.0,27.0,24.0,28.0,13.0,18.0,11.0,13.0,21.0,9.0,13.0,15.0,28.0,15.0,45.0,10.0,14.0,14.0,12.0,33.0,14.0,13.0,24.0,25.0,8.0,19.0,37.0,10.0,27.0,18.0,9.0,12.0,25.0,23.0,12.0,38.0,16.0,13.0,31.0,17.0,25.0,24.0,16.0,20.0,19.0,16.0,21.0,14.0,5.0,19.0,15.0,14.0,7.0,15.0,13.0,11.0,11.0,12.0,31.0,9.0,32.0,12.0,7.0,12.0,23.0,18.0,14.0,15.0,22.0,18.0,10.0,14.0,20.0,13.0,18.0,10.0,16.0,16.0,10.0,17.0,17.0,24.0,23.0,34.0,11.0,7.0,16.0,8.0,24.0,21.0,18.0,9.0
