,ensemble id,gene sym
0,ENSMUSG00000055609,Hba-x
1,ENSMUSG00000001020,S100a4
2,ENSMUSG00000032294,Pkm
3,ENSMUSG00000030122,Ptms
4,ENSMUSG00000050335,Lgals3
5,ENSMUSG00000057278,Snrpg
6,ENSMUSG00000026069,Il1rl1
7,ENSMUSG00000029304,Spp1
8,ENSMUSG00000011752,Pgam1
9,ENSMUSG00000090553,Snrpe
10,ENSMUSG00000091537,Tma7
11,ENSMUSG00000024740,Ddb1
12,ENSMUSG00000021290,Atp5mpl
13,ENSMUSG00000046432,Bex3
14,ENSMUSG00000020473,Aebp1
15,ENSMUSG00000050856,Atp5k
16,ENSMUSG00000000753,Serpinf1
17,ENSMUSG00000005054,Cstb
18,ENSMUSG00000059534,Uqcr10
19,ENSMUSG00000017466,Timp2
20,ENSMUSG00000002602,Axl
21,ENSMUSG00000031328,Flna
22,ENSMUSG00000076437,Selenoh
23,ENSMUSG00000073616,Cops9
24,ENSMUSG00000025203,Scd2
25,ENSMUSG00000007836,Hnrnpa0
26,ENSMUSG00000023046,Igfbp6
27,ENSMUSG00000042712,Tceal9
28,ENSMUSG00000023905,Tnfrsf12a
29,ENSMUSG00000020022,Ndufa12
30,ENSMUSG00000002274,Metrn
31,ENSMUSG00000028426,Rad23b
32,ENSMUSG00000071547,Nt5dc2
33,ENSMUSG00000031146,Plp2
34,ENSMUSG00000020186,Csrp2
35,ENSMUSG00000043866,Taf10
36,ENSMUSG00000035215,Lsm7
37,ENSMUSG00000020307,Cdc34
38,ENSMUSG00000002233,Rhoc
39,ENSMUSG00000001440,Kpnb1
40,ENSMUSG00000024640,Psat1
41,ENSMUSG00000001119,Col6a1
42,ENSMUSG00000003873,Bax
43,ENSMUSG00000068614,Actc1
44,ENSMUSG00000030417,Pdcd5
45,ENSMUSG00000004849,Ap1s1
46,ENSMUSG00000020917,Acly
47,ENSMUSG00000027533,Fabp5
48,ENSMUSG00000027203,Dut
49,ENSMUSG00000028645,Slc2a1
50,ENSMUSG00000063480,Snu13
51,ENSMUSG00000030435,U2af2
52,ENSMUSG00000020018,Snrpf
53,ENSMUSG00000030647,Ndufc2
54,ENSMUSG00000027405,Nop56
55,ENSMUSG00000005575,Ube2m
56,ENSMUSG00000037152,Ndufc1
57,ENSMUSG00000039016,Timm8b
58,ENSMUSG00000035478,Mbd3
59,ENSMUSG00000031231,Cox7b
60,ENSMUSG00000029201,Ugdh
61,ENSMUSG00000036748,Cuedc2
62,ENSMUSG00000039323,Igfbp2
63,ENSMUSG00000052957,Gas1
64,ENSMUSG00000020250,Txnrd1
65,ENSMUSG00000035048,Anapc13
66,ENSMUSG00000027067,Ssrp1
67,ENSMUSG00000020649,Rrm2
68,ENSMUSG00000028693,Nasp
69,ENSMUSG00000022452,Smdt1
70,ENSMUSG00000034681,Rnps1
71,ENSMUSG00000020440,Arf5
72,ENSMUSG00000027597,Ahcy
73,ENSMUSG00000022351,Sqle
74,ENSMUSG00000001467,Cyp51
75,ENSMUSG00000039114,Nrn1
76,ENSMUSG00000026825,Dnm1
77,ENSMUSG00000031954,Cfdp1
78,ENSMUSG00000054405,Dnajc8
79,ENSMUSG00000017493,Igfbp4
80,ENSMUSG00000036372,Tmem258
81,ENSMUSG00000003528,Slc25a1
82,ENSMUSG00000047843,Bri3
83,ENSMUSG00000036402,Gng12
84,ENSMUSG00000029672,Fam3c
85,ENSMUSG00000030351,Tspan11
86,ENSMUSG00000028455,Stoml2
87,ENSMUSG00000040945,Rcc2
88,ENSMUSG00000060739,Nsa2
89,ENSMUSG00000040204,Pclaf
90,ENSMUSG00000027775,Mfsd1
91,ENSMUSG00000022463,Srebf2
92,ENSMUSG00000010663,Fads1
93,ENSMUSG00000051579,Tceal8
94,ENSMUSG00000023904,Hcfc1r1
95,ENSMUSG00000063200,Nol7
96,ENSMUSG00000031565,Fgfr1
97,ENSMUSG00000040690,Col16a1
98,ENSMUSG00000024194,Cuta
99,ENSMUSG00000024038,Ndufv3
100,ENSMUSG00000041740,Rnf10
101,ENSMUSG00000048126,Col6a3
102,ENSMUSG00000024067,Dpy30
103,ENSMUSG00000074656,Eif2s2
104,ENSMUSG00000030879,Mrpl17
