,TPM
ENSMUSG00000007777,31.121931
ENSMUSG00000042208,13.5321535
ENSMUSG00000020831,149.17668299999997
ENSMUSG00000107002,50.3949
ENSMUSG00000058706,4.861402
ENSMUSG00000028608,57.11020050000001
ENSMUSG00000060512,2.985989
ENSMUSG00000090066,0.0588212
ENSMUSG00000030663,174.86415199999996
ENSMUSG00000021023,13.037969
ENSMUSG00000039195,50.1870835
ENSMUSG00000045237,19.82885
ENSMUSG00000028441,0.62478819882
ENSMUSG00000068073,0.0
ENSMUSG00000037971,15.552421000000002
ENSMUSG00000046999,2.04494
ENSMUSG00000063236,42.713184999999996
ENSMUSG00000040591,27.872927
ENSMUSG00000068067,0.0
ENSMUSG00000035171,38.474076000000004
ENSMUSG00000032551,16.019021000000002
ENSMUSG00000078570,61.00643
ENSMUSG00000045414,13.2097
ENSMUSG00000043687,2.853861
ENSMUSG00000063320,22.467507
ENSMUSG00000033688,8.3756057
ENSMUSG00000068099,0.144111
ENSMUSG00000087651,23.02589
ENSMUSG00000072694,48.95027
ENSMUSG00000026051,0.0786145
ENSMUSG00000043747,0.0
ENSMUSG00000035595,12.7085
ENSMUSG00000050088,25.1165536
ENSMUSG00000054676,6.505579549999998
ENSMUSG00000094690,0.594512
ENSMUSG00000029813,0.0
ENSMUSG00000057818,0.0950407
ENSMUSG00000029182,0.0
ENSMUSG00000047150,0.06582879999999999
ENSMUSG00000095384,0.0
ENSMUSG00000095040,0.09966860000000001
ENSMUSG00000101963,0.00552285
ENSMUSG00000056508,0.402535
ENSMUSG00000021534,0.473963
ENSMUSG00000044320,1.1447484
ENSMUSG00000018543,0.273751
ENSMUSG00000030030,2.0269060000000003
ENSMUSG00000038523,4.3581605
ENSMUSG00000039174,0.0
ENSMUSG00000102463,0.0
ENSMUSG00000027973,0.0
ENSMUSG00000101234,0.018055900000000003
ENSMUSG00000026831,0.85441
ENSMUSG00000008028,1.0674593
ENSMUSG00000069118,0.0
ENSMUSG00000028287,0.04486225
ENSMUSG00000057047,0.0504717
ENSMUSG00000023873,1.093807
ENSMUSG00000101855,0.0
ENSMUSG00000031682,0.0154704
ENSMUSG00000079476,0.0
ENSMUSG00000029766,0.0
ENSMUSG00000020617,0.0
ENSMUSG00000031927,0.0
ENSMUSG00000028589,0.0
ENSMUSG00000027886,0.05929930000000001
ENSMUSG00000041399,0.0
ENSMUSG00000054727,0.1626
ENSMUSG00000051054,0.0924532
ENSMUSG00000079666,0.301056
ENSMUSG00000094445,0.0
ENSMUSG00000015962,0.0483754
ENSMUSG00000031509,0.183693
ENSMUSG00000029320,0.0446063
ENSMUSG00000053783,0.421185
ENSMUSG00000032300,28.7334955
ENSMUSG00000024729,0.0
ENSMUSG00000056912,0.0
ENSMUSG00000031809,0.0
ENSMUSG00000029620,0.0007381
ENSMUSG00000109745,0.0
ENSMUSG00000046145,0.31572300000000003
ENSMUSG00000060715,0.0519875
ENSMUSG00000043629,0.44920020000000005
ENSMUSG00000059695,0.0
ENSMUSG00000026931,0.035892900000000005
ENSMUSG00000027409,0.1989605
ENSMUSG00000100937,2.917825
ENSMUSG00000035085,2.65374
ENSMUSG00000050844,0.0
ENSMUSG00000059690,0.0415853
ENSMUSG00000019797,38.23558800000001
ENSMUSG00000027518,0.0
ENSMUSG00000038165,0.0
ENSMUSG00000028451,0.08061410000000001
ENSMUSG00000020940,0.29897
ENSMUSG00000052334,0.197416
ENSMUSG00000072473,0.0423909
ENSMUSG00000069890,0.09548774999999997
ENSMUSG00000045022,0.0
ENSMUSG00000101113,0.0
ENSMUSG00000078935,0.0
ENSMUSG00000024728,0.0
ENSMUSG00000032666,24.4366585
ENSMUSG00000099417,0.0731295
ENSMUSG00000038782,0.8896328000000001
ENSMUSG00000089798,0.0222041
ENSMUSG00000033053,0.0
ENSMUSG00000052075,0.05513805
ENSMUSG00000031452,0.0
ENSMUSG00000044916,0.9957765
ENSMUSG00000071103,0.931883
ENSMUSG00000061633,0.03521115
ENSMUSG00000091071,3.3377705
ENSMUSG00000031847,1.1501169999999998
ENSMUSG00000052794,4.8449505
ENSMUSG00000032894,0.0
ENSMUSG00000099353,0.0
ENSMUSG00000024532,0.0470039
ENSMUSG00000074619,0.00650174
ENSMUSG00000040163,0.0
ENSMUSG00000005983,3.6602095
ENSMUSG00000027327,98.60002
ENSMUSG00000100667,0.0
ENSMUSG00000078593,0.0
ENSMUSG00000094103,0.0
ENSMUSG00000079271,0.00103251
ENSMUSG00000090440,0.14197255
ENSMUSG00000043859,0.0
ENSMUSG00000044854,5.011635
ENSMUSG00000074139,0.1853235
ENSMUSG00000024209,0.1011316
ENSMUSG00000102036,0.153647
ENSMUSG00000082766,0.0
ENSMUSG00000099435,0.0
ENSMUSG00000073598,0.145535
ENSMUSG00000038323,13.451285
ENSMUSG00000046408,0.54706095
ENSMUSG00000021545,0.0
