gene,tpm
0610009B22Rik,18.029441
0610010K14Rik,127.60705
0610012G03Rik,28.8967
0610030E20Rik,11.682025
0610040J01Rik,0.129331
1110002E22Rik,0.00248957
1110004F10Rik,88.743973
1110017D15Rik,0.3773082
1110025L11Rik,0.0
1110032A03Rik,6.941768000000001
1110032F04Rik,0.0
1110038F14Rik,31.891703999999997
1110051M20Rik,38.90141800000001
1110057P08Rik,0.0
1110059E24Rik,33.11720379999999
1110059G10Rik,8.033553
1110065P20Rik,44.333600000000004
1190005I06Rik,1.47094
1190007I07Rik,6.4822662
1300017J02Rik,0.16313519999999998
1500009C09Rik,0.0
1500009L16Rik,0.0
1500011B03Rik,3.219969
1520401A03Rik,0.0
1600012H06Rik,26.490623000000003
1600014C10Rik,5.7956935000000005
1600014C23Rik,0.0
1600029O15Rik,0.0597822
1700001C19Rik,0.018267099999999998
1700001F09Rik,0.0
1700001J03Rik,0.0819882
1700001J11Rik,0.0130191
1700001K19Rik,0.25490199999999996
1700001L19Rik,0.0819586
1700001O22Rik,0.6262075999999999
1700001P01Rik,0.448563
1700003E16Rik,1.820386
1700003F12Rik,1.3792289999999998
1700003H04Rik,0.0
1700003N22Rik,0.0
1700006A11Rik,0.0
1700007E05Rik,0.0180952
1700007K13Rik,0.155341
1700008O03Rik,0.1793799
1700008P02Rik,0.0
1700009N14Rik,0.0673746
1700010B08Rik,0.033998900000000006
1700010I14Rik,0.686515
1700010N08Rik,0.0
1700011L22Rik,0.0
1700011M02Rik,0.0
1700012A03Rik,0.0
1700012B07Rik,0.0
1700012B09Rik,0.0
1700012P22Rik,0.0
1700013F07Rik,0.1455768
1700013G24Rik,0.0
1700013H16Rik,0.0
1700014B07Rik,0.0410387
1700014D04Rik,0.0
1700015G11Rik,0.0
1700016C15Rik,0.37661100000000003
1700016D06Rik,0.09767039999999999
1700016H13Rik,0.0
1700016K19Rik,0.0
1700017B05Rik,26.415085
1700017N19Rik,0.0
1700018B08Rik,0.0
1700018F24Rik,0.0
1700018G05Rik,0.0
1700018M17Rik,0.0
1700019A02Rik,0.0
1700019D03Rik,0.0423562
1700019M22Rik,0.0
1700019N19Rik,0.0
1700020A23Rik,0.0740838
1700020L13Rik,0.126164
1700020L24Rik,2.78038
1700020N01Rik,0.0
1700020N15Rik,0.0
1700021F07Rik,0.0
1700022A21Rik,0.0
1700022I11Rik,0.06799939999999999
1700024B05Rik,0.13231689
1700024G13Rik,0.0
1700024J04Rik,0.132018
1700025B11Rik,0.0
1700025C18Rik,0.0
1700025G04Rik,14.782715
1700028B04Rik,0.249475
1700028J19Rik,0.6929609
1700028K03Rik,0.0094897685
1700028P14Rik,0.0
1700029F12Rik,0.0
1700029H14Rik,0.0
1700029I15Rik,0.384155
1700029J07Rik,0.3960022
1700030C10Rik,0.09484110000000001
1700030J22Rik,1.126462
1700030K09Rik,4.075018999999999
1700031F05Rik,0.0
1700031L13Rik,0.0
1700031M16Rik,0.0
1700034E13Rik,0.0
1700034I23Rik,0.012504099999999999
1700034J05Rik,0.0
1700037C18Rik,2.440348
1700037H04Rik,76.87460639999999
1700040F15Rik,0.0
1700049E17Rik1,0.0
1700049E17Rik2,0.147544
1700049L16Rik,0.0
1700056E22Rik,3.0983149999999995
1700057G04Rik,0.51777
1700063K16Rik,0.0
1700064H15Rik,0.24351599999999998
1700065I16Rik,0.0
1700066B19Rik,0.0412431
1700066M21Rik,12.43201
1700067K01Rik,0.22938370000000002
1700067P10Rik,0.0
1700069L16Rik,0.0
1700071K01Rik,0.0
1700073E17Rik,0.0
1700084J12Rik,0.013257299999999998
1700084M14Rik,0.0
1700086D15Rik,0.0
1700086L19Rik,0.0
1700088E04Rik,1.7548469000000002
1700091H14Rik,0.0
1700092M07Rik,1.087385
1700093K21Rik,0.0
1700094D03Rik,0.22297399999999998
1700102P08Rik,0.523277
1700109H08Rik,0.9407071
1700113H08Rik,0.0
1700122O11Rik,0.0
1700123K08Rik,0.0
1700123L14Rik,0.0
1700123O20Rik,25.830815
1700125H20Rik,0.06204730000000001
1700128F08Rik,0.0265797
1700129C05Rik,0.0
1810009A15Rik,125.59189200000002
1810009J06Rik,0.0
1810010H24Rik,0.396038
1810013L24Rik,37.0828
1810014B01Rik,4.476943
1810018F18Rik,0.0
1810020O05Rik,0.0
1810024B03Rik,0.386281
1810030O07Rik,20.4845
1810037I17Rik,66.9039
1810046K07Rik,0.0
1810049J17Rik,19.0679
1810055G02Rik,68.86007299999999
1810058I24Rik,77.55041200000001
1810062G17Rik,0.233974
1810065E05Rik,0.0
2010003K11Rik,0.0
2010010A06Rik,0.0
2010106E10Rik,0.0
2010109A12Rik,0.0
2010315B03Rik,4.904482
2200002D01Rik,19.18044
2200002J24Rik,0.0625695
2210010C04Rik,0.0244663
2210016F16Rik,0.645364
2210016L21Rik,18.691364
2210017I01Rik,0.17794300000000002
2210408I21Rik,2.998851
2210409E12Rik,0.0
2210418O10Rik,0.891567
2300002M23Rik,0.0
2300003K06Rik,0.0
2300009A05Rik,9.56587
2310002L09Rik,0.0
2310003L06Rik,0.0
2310009B15Rik,41.838913000000005
2310011J03Rik,35.0227
2310022A10Rik,16.4738197
2310022B05Rik,78.5971
2310030G06Rik,0.0456063
2310033P09Rik,13.1375
2310034C09Rik,0.0
2310034G01Rik,0.688693
2310039H08Rik,32.3539
2310040G07Rik,0.0
2310046K23Rik,0.0
2310050C09Rik,0.0
2310057J18Rik,0.0
2310057M21Rik,10.9841726
2310057N15Rik,0.0
2310061I04Rik,24.499802
2310061N02Rik,0.0
2310079G19Rik,0.0
2410002F23Rik,68.9878652258391
2410004B18Rik,18.993921299999997
2410004P03Rik,0.0909423
2410024N13Rik,0.155446
2410137M14Rik,0.0
2510002D24Rik,9.30607
2510009E07Rik,6.575349999999999
2510039O18Rik,41.6076
2610001J05Rik,79.22747899999999
2610002M06Rik,6.732020035362299
2610005L07Rik,43.105199999999996
2610008E11Rik,9.246500999999999
2610021A01Rik,13.304485999999999
2610024D14Rik,0.0
2610028H24Rik,0.0
2610042L04Rik,0.08590060000000001
2610044O15Rik8,27.26339
2610301B20Rik,12.94056
2610318N02Rik,12.746720999999999
2610507B11Rik,49.4184885
2610528A11Rik,0.18828
2610528J11Rik,0.0
2700049A03Rik,5.596830000000001
2700062C07Rik,20.240775
2700097O09Rik,3.8683509999999997
2700099C18Rik,11.686094
2810004N23Rik,36.362907
2810021J22Rik,2.2802
2810025M15Rik,46.877998999999996
2810039B14Rik,1.136955
2810047C21Rik1,1.65193
2810408A11Rik,0.7751642
2810459M11Rik,0.0
2900026A02Rik,0.0968586
