,ensemble id,gene sym
0,ENSMUSG00000052187,Hbb-y
1,ENSMUSG00000069919,Hba-a1
2,ENSMUSG00000027239,Mdk
3,ENSMUSG00000046434,Hnrnpa1
4,ENSMUSG00000029661,Col1a2
5,ENSMUSG00000028832,Stmn1
6,ENSMUSG00000048583,Igf2
7,ENSMUSG00000031375,Bgn
8,ENSMUSG00000025068,Gsto1
9,ENSMUSG00000017778,Cox7c
10,ENSMUSG00000056612,Ppp1r14b
11,ENSMUSG00000020458,Rtn4
12,ENSMUSG00000059743,Fdps
13,ENSMUSG00000055839,Elob
14,ENSMUSG00000031762,Mt2
15,ENSMUSG00000024121,Atp6v0c
16,ENSMUSG00000024914,Drap1
17,ENSMUSG00000005566,Trim28
18,ENSMUSG00000027800,Tm4sf1
19,ENSMUSG00000041459,Tardbp
20,ENSMUSG00000059005,Hnrnpa3
21,ENSMUSG00000070436,Serpinh1
22,ENSMUSG00000020469,Myl7
23,ENSMUSG00000029713,Gnb2
24,ENSMUSG00000056758,Hmga2
25,ENSMUSG00000041560,Nop53
26,ENSMUSG00000020219,Timm13
27,ENSMUSG00000029581,Fscn1
28,ENSMUSG00000001794,Capns1
29,ENSMUSG00000037664,Cdkn1c
30,ENSMUSG00000030795,Fus
31,ENSMUSG00000063511,Snrnp70
32,ENSMUSG00000058076,Sdhc
33,ENSMUSG00000026389,Steap3
34,ENSMUSG00000015165,Hnrnpl
35,ENSMUSG00000030605,Mfge8
36,ENSMUSG00000038845,Phb
37,ENSMUSG00000001056,Nhp2
38,ENSMUSG00000026750,Psmb7
39,ENSMUSG00000015217,Hmgb3
40,ENSMUSG00000021131,Erh
41,ENSMUSG00000001403,Ube2c
42,ENSMUSG00000062248,Cks2
43,ENSMUSG00000041203,Trir
44,ENSMUSG00000053398,Phgdh
45,ENSMUSG00000000278,Scpep1
46,ENSMUSG00000007656,Arpp19
47,ENSMUSG00000062981,Mrpl42
48,ENSMUSG00000030796,Tead2
49,ENSMUSG00000011096,Akt1s1
50,ENSMUSG00000024217,Snrpc
51,ENSMUSG00000040249,Lrp1
52,ENSMUSG00000024909,Efemp2
53,ENSMUSG00000031604,Msmo1
54,ENSMUSG00000023495,Pcbp4
55,ENSMUSG00000079658,Eloc
56,ENSMUSG00000019942,Cdk1
57,ENSMUSG00000031078,Cttn
58,ENSMUSG00000004105,Angptl2
59,ENSMUSG00000001729,Akt1
60,ENSMUSG00000053746,Ptrh1
61,ENSMUSG00000070394,Tmem256
62,ENSMUSG00000025809,Itgb1
63,ENSMUSG00000055653,Gpc3
64,ENSMUSG00000005397,Nid1
65,ENSMUSG00000045817,Zfp36l2
66,ENSMUSG00000032011,Thy1
67,ENSMUSG00000019539,Rcn3
68,ENSMUSG00000026586,Prrx1
69,ENSMUSG00000001270,Ckb
70,ENSMUSG00000020241,Col6a2
71,ENSMUSG00000025270,Alas2
72,ENSMUSG00000051391,Ywhag
73,ENSMUSG00000030678,Maz
74,ENSMUSG00000037935,Smarce1
75,ENSMUSG00000020935,Dcakd
76,ENSMUSG00000030869,Ndufab1
77,ENSMUSG00000029177,Cenpa
78,ENSMUSG00000008140,Emc10
79,ENSMUSG00000063787,Chchd1
80,ENSMUSG00000028010,Gar1
81,ENSMUSG00000006442,Srm
82,ENSMUSG00000046841,Ckap4
83,ENSMUSG00000020089,Ppa1
84,ENSMUSG00000024392,Bag6
85,ENSMUSG00000001131,Timp1
86,ENSMUSG00000067847,Romo1
87,ENSMUSG00000048612,Myof
88,ENSMUSG00000030978,Rrm1
89,ENSMUSG00000029781,Fkbp9
90,ENSMUSG00000056209,Npm3
91,ENSMUSG00000028648,Ndufs5
92,ENSMUSG00000031960,Aars
93,ENSMUSG00000001642,Akr1b3
94,ENSMUSG00000024309,Pfdn6
95,ENSMUSG00000041859,Mcm3
96,ENSMUSG00000032126,Hmbs
97,ENSMUSG00000029538,Srsf9
98,ENSMUSG00000019558,Slc6a8
99,ENSMUSG00000024346,Pfdn1
100,ENSMUSG00000069565,Dazap1
101,ENSMUSG00000003549,Ercc1
102,ENSMUSG00000034880,Mrpl34
103,ENSMUSG00000004846,Plod3
104,ENSMUSG00000025161,Slc16a3
105,ENSMUSG00000024940,Ltbp3
106,ENSMUSG00000006398,Cdc20
107,ENSMUSG00000038722,Bud31
108,ENSMUSG00000039771,Polr2j
109,ENSMUSG00000020929,Eftud2
110,ENSMUSG00000020467,Efemp1
111,ENSMUSG00000078941,Ak6
112,ENSMUSG00000024066,Xdh
113,ENSMUSG00000020547,Bzw2
114,ENSMUSG00000020485,Supt4a
115,ENSMUSG00000025289,Prdx4
116,ENSMUSG00000024590,Lmnb1
117,ENSMUSG00000001576,Ergic1
118,ENSMUSG00000031875,Cmtm3
119,ENSMUSG00000023104,Rfc2
120,ENSMUSG00000041801,Phlda3
121,ENSMUSG00000026281,Dtymk
122,ENSMUSG00000031827,Cotl1
123,ENSMUSG00000023286,Ube2j2
124,ENSMUSG00000091896,Ube2d2a
125,ENSMUSG00000001424,Snd1
126,ENSMUSG00000019777,Hdac2
127,ENSMUSG00000005417,Mprip
128,ENSMUSG00000060147,Serpinb6a
129,ENSMUSG00000019738,Polr2i
130,ENSMUSG00000034220,Gpc1
131,ENSMUSG00000045763,Basp1
132,ENSMUSG00000023106,Denr
133,ENSMUSG00000036078,Sigmar1
134,ENSMUSG00000036398,Ppp1r11
135,ENSMUSG00000028646,Rragc
136,ENSMUSG00000020831,0610010K14Rik
137,ENSMUSG00000025402,Nab2
138,ENSMUSG00000029687,Ezh2
139,ENSMUSG00000004096,Cwc15
140,ENSMUSG00000005410,Mcm5
141,ENSMUSG00000029066,Mrpl20
142,ENSMUSG00000013787,Ehmt2
143,ENSMUSG00000026688,Mgst3
144,ENSMUSG00000024962,Vegfb
145,ENSMUSG00000042541,Sem1
146,ENSMUSG00000035325,Sec31a
147,ENSMUSG00000037679,Inf2
148,ENSMUSG00000060261,Gtf2i
149,ENSMUSG00000028464,Tpm2
150,ENSMUSG00000028849,Map7d1
151,ENSMUSG00000015094,Npdc1
152,ENSMUSG00000008398,Elk3
153,ENSMUSG00000026192,Atic
154,ENSMUSG00000022962,Gart
155,ENSMUSG00000004788,Eif2b2
156,ENSMUSG00000022024,Sugt1
157,ENSMUSG00000026355,Mcm6
158,ENSMUSG00000019173,Rab5c
159,ENSMUSG00000022791,Tnk2
160,ENSMUSG00000002778,Kdelr1
161,ENSMUSG00000007415,Gatad1
162,ENSMUSG00000048578,Mlec
163,ENSMUSG00000031826,Usp10
164,ENSMUSG00000073940,Hbb-bt
165,ENSMUSG00000028873,Cdca8
166,ENSMUSG00000037499,Nenf
